did,tabpfn_transformer_model,pure_hydra_12_layers_512e_12l,callback_hybrid_8_layers_latest
11,0.009147453308105468,0.016812515258789063,0.010190725326538086
14,0.008879327774047851,0.0218355655670166,0.010105514526367187
15,0.008957958221435547,0.016770410537719726,0.009903192520141602
16,0.009306383132934571,0.016641855239868164,0.01011195182800293
18,0.009179162979125976,0.016566991806030273,0.0103118896484375
22,0.009108209609985351,0.016578292846679686,0.010426759719848633
23,0.009112358093261719,0.01717076301574707,0.010078716278076171
29,0.009044408798217773,0.016677474975585936,0.010352277755737304
31,0.009313011169433593,0.016599225997924804,0.010483169555664062
37,0.009033107757568359,0.018558979034423828,0.009864616394042968
50,0.009251260757446289,0.01827397346496582,0.010168027877807618
54,0.009314632415771485,0.016627979278564454,0.010092496871948242
188,0.009119415283203125,0.01685042381286621,0.01019597053527832
458,0.008896636962890624,0.016706085205078124,0.009766197204589844
469,0.008970260620117188,0.01662592887878418,0.010063552856445312
1049,0.008794593811035156,0.016833734512329102,0.010095787048339844
1050,0.008800315856933593,0.01695108413696289,0.010155773162841797
1063,0.02054586410522461,0.01711583137512207,0.010205793380737304
1068,0.013953113555908203,0.016783714294433594,0.009944725036621093
1462,0.01559290885925293,0.017114830017089844,0.010398674011230468
1464,0.011306524276733398,0.016677665710449218,0.009703826904296876
1480,0.012786149978637695,0.01684737205505371,0.010263824462890625
1494,0.011541604995727539,0.016704320907592773,0.010109615325927735
1510,0.013516473770141601,0.017287254333496094,0.010294771194458008
6332,0.037121152877807616,0.016473388671875,0.009785175323486328
23381,0.013798999786376952,0.016306114196777344,0.009628057479858398
40966,0.015694522857666017,0.016672229766845702,0.00990142822265625
40975,0.009619188308715821,0.016512489318847655,0.010137557983398438
40982,0.009435892105102539,0.01680436134338379,0.010245609283447265
40994,0.009366559982299804,0.01735520362854004,0.009881114959716797
