model,checkpoint,epoch,path,did,mean_metric,split_1_metric,split_2_metric,split_3_metric,split_4_metric,split_5_metric
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,1462,1.0,1.0,1.0,1.0,1.0,1.0
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,1464,0.7599102139472962,0.7736797332763672,0.7385367751121521,0.7601813673973083,0.7632207870483398,0.7639324069023132
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,1480,0.7260832071304322,0.719821572303772,0.7326228022575378,0.7521554231643677,0.7487562298774719,0.6770600080490112
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,1494,0.9255010724067688,0.9190577268600464,0.9403984546661377,0.9106515049934387,0.9293908476829529,0.9280068278312683
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,1510,0.9962296605110168,0.9994271993637085,0.9969796538352966,0.9886146187782288,0.9978358745574951,0.9982909560203552
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,6332,0.7936421394348144,0.8174048066139221,0.7796817421913147,0.8289383053779602,0.7888007164001465,0.7533851265907288
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,23381,0.5241889655590057,0.5454545617103577,0.4829931855201721,0.6326530575752258,0.4228070080280304,0.5370370149612427
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,40966,0.9993462443351746,0.9992614984512329,0.9994391202926636,0.9998437762260437,0.9992489814758301,0.9989378452301025
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,40975,0.9796780228614808,0.9795666933059692,0.9814639091491699,0.9775007367134094,0.9684054255485535,0.9914533495903015
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,40982,0.9359573483467102,0.9512746334075928,0.9422037601470947,0.9246374368667603,0.9414255023002625,0.9202454090118408
alternating_hydra_tabpfn_12l_lr1e4,epoch_20,20.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_20.cpkt,40994,0.9252878665924072,0.9287062287330627,0.9136730432510376,0.9297086596488953,0.9054877758026123,0.9488636255264282
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,11,0.9939319491386414,0.9981449842453003,0.9907922148704529,0.9961379170417786,0.9911754727363586,0.9934091567993164
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,14,0.9645519495010376,0.9663044810295105,0.9668905735015869,0.9569963216781616,0.9674725532531738,0.9650958180427551
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,15,0.991998302936554,0.9905710220336914,0.9916394352912903,0.9916819334030151,0.9910345077514648,0.9950646162033081
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,16,0.9922833323478699,0.9882869124412537,0.9938139319419861,0.9911298751831055,0.9969041347503662,0.9912818074226379
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,18,0.9579541802406311,0.9580311179161072,0.9550063014030457,0.9582040905952454,0.9581791162490845,0.9603502750396729
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,22,0.9769404411315918,0.969995379447937,0.9794692993164062,0.975614070892334,0.9823383688926697,0.9772850871086121
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,23,0.7080941557884216,0.6982705593109131,0.7018617391586304,0.7023938298225403,0.7131324410438538,0.7248122096061707
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,29,0.9305822253227234,0.9422217011451721,0.9389140009880066,0.9170350432395935,0.9223542809486389,0.9323861002922058
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,31,0.7848535895347595,0.7858997583389282,0.7819986343383789,0.7813431024551392,0.783610999584198,0.7914154529571533
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,37,0.8295131087303161,0.7991192936897278,0.8328424692153931,0.8311988711357117,0.8307493329048157,0.8536555767059326
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,50,0.8968821048736573,0.8950752019882202,0.9010218977928162,0.8999578952789307,0.8889514207839966,0.8994041085243225
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,54,0.9371106266975403,0.9394055008888245,0.942909300327301,0.9379613995552063,0.9374114274978638,0.9278655052185059
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,188,0.9108768701553345,0.9098292589187622,0.9155282974243164,0.9162058234214783,0.9163579344749451,0.8964630365371704
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,458,0.9998794794082642,1.0,0.999954879283905,0.9996442794799805,1.0,0.9997982382774353
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,469,0.5886893987655639,0.5855573415756226,0.6043218970298767,0.5780995488166809,0.5783730745315552,0.5970951318740845
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,1049,0.9212955474853516,0.9023226499557495,0.9298158288002014,0.9192617535591125,0.9181756973266602,0.9369018077850342
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,1050,0.8224666118621826,0.8480511903762817,0.8342394232749939,0.8005189299583435,0.7870586514472961,0.8424648642539978
alternating_hydra_tabpfn_12l_lr1e4,epoch_40,40.0,tabpfn/models_diff/callback_alternating_hydra_tabpfn_12_layers_512e_lr0p0001_epoch_40.cpkt,1063,0.8125865459442139,0.8455924391746521,0.766445517539978,0.7869796752929688,0.8577526211738586,0.8061624765396118
