model,display_name,parameters,seq_len,num_features,num_classes,batch_size,eval_position,train_tokens,test_tokens,step_seconds,step_seconds,step_seconds,step_seconds,step_seconds,step_seconds,examples_per_second,examples_per_second,examples_per_second,examples_per_second,examples_per_second,examples_per_second,tokens_per_second,tokens_per_second,tokens_per_second,tokens_per_second,tokens_per_second,tokens_per_second
,,,,,,,,,,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count
hybrid_8l,Hybrid 8L,15999690,1024,100,10,2,512,1024,1024,0.05274937255308032,0.05234893783926964,0.009757773313737316,0.041999503038823605,0.06815844681113958,5,38.895325018162694,38.205168672967744,6.715885279148042,29.343391664158737,47.619611073760446,5,39828.8128185986,39122.09272111897,6877.066525847595,30047.633064098547,48762.481739530696,5
hydra_25m,Hydra 25M,21578826,1024,100,10,2,512,1024,1024,0.08524355832487344,0.07413736265152693,0.025213512609120824,0.070367522072047,0.12966615473851562,5,24.73792715496657,26.97695100648159,5.424725919604306,15.424225419757331,28.42220304350444,5,25331.637406685768,27624.397830637146,5554.919341674809,15794.406829831507,29104.335916548545,5
nanotabpfn,NanoTabPFN,356066,150,5,2,32,75,2400,2400,0.02835033545270562,0.028284570667892694,0.0006978329093802264,0.027464156970381737,0.029237445909529924,5,1129.2816230514336,1131.358873208031,27.792395230375188,1094.4868474154107,1165.1550067424196,5,169392.24345771503,169703.83098120464,4168.859284556271,164173.0271123116,174773.2510113629,5
original_tabpfn,Original TabPFN,25821706,1024,100,10,2,512,1024,1024,0.05825849287211895,0.05804758286103606,0.0005949377315100313,0.05760219041258097,0.05893190857023001,5,34.33261779963401,34.45449235651951,0.3499763961890903,33.93747205075788,34.720901855898475,5,35156.600626825224,35281.40017307598,358.3758296976285,34751.97137997607,35554.20350044004,5
