,did,hybrid
0,11,0.9897896647453308
1,14,0.9515900135040283
2,15,0.992602014541626
3,16,0.9887150645256042
4,18,0.9543035149574279
5,22,0.9681530594825745
6,23,0.7065766334533692
7,29,0.9345533967018127
8,31,0.7868257880210876
9,37,0.8304957509040832
10,50,0.9159789323806763
11,54,0.9234367966651916
12,188,0.8958477854728699
13,458,0.9999586939811707
14,469,0.5875672578811646
15,1049,0.918578314781189
16,1050,0.8223792791366578
17,1063,0.8211658477783204
18,1068,0.8473819494247437
19,1462,1.0
20,1464,0.7562176346778869
21,1480,0.7251783847808838
22,1494,0.9229401707649231
23,1510,0.9965502500534058
24,6332,0.7825086951255799
25,23381,0.5386040389537812
26,40966,0.9998081207275391
27,40975,0.9727784633636475
28,40982,0.9446334958076477
29,40994,0.9384395241737366
