model,table_size,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds
tabpfn,8192,100,4096,6,ok,,1.3166773340199143,0.009028911590576172
hybrid_12l,8192,100,4096,6,ok,,1.2305913530290127,0.014217376708984375
hybrid_8l,8192,100,4096,6,ok,,1.2389815410133451,0.010301589965820312
hydra,8192,100,4096,6,ok,,1.8957113248761743,0.032141923904418945
tabpfn,8192,100,4096,7,ok,,1.3189495441038162,0.009224176406860352
hybrid_12l,8192,100,4096,7,ok,,1.2365846850443631,0.014711618423461914
hybrid_8l,8192,100,4096,7,ok,,1.147156901890412,0.010261774063110352
hydra,8192,100,4096,7,ok,,1.8932694799732417,0.0323028564453125
tabpfn,8192,100,4096,8,ok,,1.3182461659889668,0.009363412857055664
hybrid_8l,8192,100,4096,8,ok,,1.4090843880549073,0.010641098022460938
hybrid_12l,8192,100,4096,8,ok,,1.2340731101576239,0.014944076538085938
hydra,8192,100,4096,8,ok,,2.2598385689780116,0.036513566970825195
hydra,8192,100,4096,9,ok,,2.282445902004838,0.032509565353393555
hybrid_8l,8192,100,4096,9,ok,,1.6809156730305403,0.012337684631347656
hybrid_12l,8192,100,4096,9,ok,,1.6416536669712514,0.015659332275390625
tabpfn,8192,100,4096,9,ok,,1.5242022359743714,0.00960850715637207
hydra,8192,100,4096,10,ok,,1.9001745148561895,0.033330678939819336
hybrid_8l,8192,100,4096,10,ok,,1.1456510650459677,0.010672330856323242
hybrid_12l,8192,100,4096,10,ok,,1.2613586799707264,0.014856815338134766
tabpfn,8192,100,4096,10,ok,,1.3374315039254725,0.00943899154663086
hydra,16384,100,8192,1,ok,,3.509028153028339,0.03301119804382324
hybrid_12l,16384,100,8192,1,ok,,2.3776327290106565,0.014961004257202148
hybrid_8l,16384,100,8192,1,ok,,2.1056165050249547,0.010596513748168945
tabpfn,16384,100,8192,1,ok,,2.7401412080507725,0.009708404541015625
hybrid_8l,16384,100,8192,2,ok,,2.1017144641373307,0.010562896728515625
hydra,16384,100,8192,2,ok,,3.465364388888702,0.03299140930175781
tabpfn,16384,100,8192,2,ok,,2.7355721450876445,0.00974130630493164
