model,checkpoint,epoch,path,mean_metric,moe,split_1_mean_metric,split_2_mean_metric,split_3_mean_metric,split_4_mean_metric,split_5_mean_metric
hybrid_8_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_20.cpkt,0.8761076869567235,0.001622845583444291,0.8780653556187947,0.8759523024161656,0.8756061931451161,0.8744880696137746,0.8764265139897665
hybrid_8_layers,epoch_40,40.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_40.cpkt,0.8803751413027445,0.003801083157704946,0.8840242524941763,0.8794230550527573,0.8797047515710195,0.8761400034030279,0.8825836439927419
hybrid_8_layers,epoch_60,60.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_60.cpkt,0.8811284403006235,0.004315315175530119,0.8847430646419525,0.8799104770024617,0.881000139315923,0.8760460774103801,0.8839424431324006
hybrid_8_layers,epoch_80,80.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_80.cpkt,0.8842960373560587,0.0029483927220931225,0.8877513448397318,0.8836925705273946,0.8834085424741109,0.8813730339209239,0.8852546950181325
hybrid_8_layers,epoch_100,100.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_100.cpkt,0.8842130972941715,0.0032845685698567515,0.888606991370519,0.8827631721893946,0.8828639308611552,0.8820947448412577,0.8847366472085317
hybrid_8_layers,epoch_120,120.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_120.cpkt,0.8855123337109884,0.00300572523698505,0.8891394913196564,0.8833472470442454,0.8849435091018677,0.8835047443707784,0.886626676718394
hybrid_8_layers,epoch_140,140.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_140.cpkt,0.8846479139725367,0.0025172651429446967,0.887310383717219,0.8832276135683059,0.8840223848819733,0.8825020829836527,0.8861771047115325
hybrid_8_layers,epoch_160,160.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_160.cpkt,0.8865198040008544,0.0032880028918197027,0.8909932295481364,0.8852937906980515,0.8853592813014984,0.8842495928208033,0.8867031256357829
hybrid_8_layers,epoch_180,180.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_180.cpkt,0.8859816807508469,0.002968446857459489,0.8898975014686584,0.8845821847518285,0.8858280996481578,0.8836267054080963,0.8859739124774932
hybrid_8_layers,epoch_200,200.0,tabpfn/models_diff/callback_hybrid_8_layers_epoch_200.cpkt,0.8860731025536854,0.0029079252736753497,0.8898234188556671,0.8847715467214584,0.8859474082787832,0.883595127860705,0.8862280110518138
hybrid_8_layers,final,,tabpfn/models_diff/hybrid_8_layers_8l.cpkt,0.8860731025536854,0.0029079252736753497,0.8898234188556671,0.8847715467214584,0.8859474082787832,0.883595127860705,0.8862280110518138
hybrid_12_layers,epoch_20,20.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_20.cpkt,0.855497868657112,0.003460620297490569,0.8586722771326701,0.8547043204307556,0.855014044046402,0.8515218704938888,0.857576831181844
hybrid_12_layers,epoch_40,40.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_40.cpkt,0.8728831551472347,0.0030243964588327985,0.875629460811615,0.8742656916379928,0.8703032513459523,0.8703166743119558,0.8739006976286571
hybrid_12_layers,epoch_60,60.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_60.cpkt,0.8783723811308544,0.002482216656317256,0.8809665421644847,0.878849611679713,0.8765837510426839,0.8761488616466522,0.8793131391207377
hybrid_12_layers,epoch_80,80.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_80.cpkt,0.8802452089389166,0.002143209547877613,0.8821750521659851,0.8810032834609349,0.8789104918638865,0.8779999514420828,0.8811372657616933
hybrid_12_layers,epoch_100,100.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_100.cpkt,0.8809341039260229,0.002181694702058813,0.8832300543785095,0.8804441591103872,0.8796831409136454,0.8790567626555761,0.882256402571996
hybrid_12_layers,epoch_120,120.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_120.cpkt,0.8816987864176433,0.0019983981401670873,0.8840010444323222,0.8808362017075221,0.8802257815996806,0.8806794514258702,0.8827514529228211
hybrid_12_layers,epoch_140,140.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_140.cpkt,0.8813197006781897,0.0015576492226874747,0.8829562922318777,0.8802690754334132,0.8806126753489176,0.8803788622220358,0.8823815981547037
hybrid_12_layers,epoch_160,160.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_160.cpkt,0.8814609279235203,0.0018558808352557253,0.8834024389584859,0.8805186520020167,0.8807972033818563,0.8799180328845978,0.8826683123906454
hybrid_12_layers,epoch_180,180.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_180.cpkt,0.8812750055392584,0.0015981681422890489,0.8830971539020538,0.8806065450112025,0.8806811173756918,0.8799110770225524,0.882079134384791
hybrid_12_layers,epoch_200,200.0,tabpfn/models_diff/callback_hybrid_6hydra_6transformer_epoch_200.cpkt,0.8813190480073292,0.0016662216967695028,0.8832062343756358,0.8808144390583038,0.8805468201637268,0.8798727413018544,0.8821550051371256
hybrid_12_layers,final,,tabpfn/models_diff/hybrid_6hydra_6transformer_12l.cpkt,0.8813190480073292,0.0016662216967695028,0.8832062343756358,0.8808144390583038,0.8805468201637268,0.8798727413018544,0.8821550051371256
