model,mean_across_datasets,std_across_datasets,num_datasets,num_dataset_wins
hybrid_8l,0.886073358853658,0.12944071778746707,30,9
tabpfn,0.8890022134780884,0.1293742919139872,30,18
hydra,0.8708507255713145,0.12915210200816568,30,3
