did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,inference_mean,inference_median,inference_std,inference_min,inference_max,end_to_end_mean,end_to_end_median,count,mean_metric
11,balance-scale,hybrid_8l,625,4,972,312,0.014611966895560423,0.014532150700688362,0.00023347184218062742,0.014423815533518791,0.015954354777932167,0.03827693780263265,0.03806316014379263,75,0.9942990899085998
11,balance-scale,hydra,625,4,972,312,0.021858539457122485,0.021772527135908604,0.00022924776490783016,0.02167559415102005,0.023135759867727757,0.04589997657885154,0.04565862752497196,75,0.9865081906318665
11,balance-scale,hydra_small,625,4,972,312,0.11207194707045952,0.11200294457376003,0.00016950896791872763,0.111912383697927,0.11275425832718611,0.13832358642170828,0.1381206028163433,75,0.9939501166343689
11,balance-scale,looped_transformer_6physical_core4x2,625,4,972,312,0.016932597619791826,0.01688892487436533,0.00014015180357876728,0.016792052425444126,0.01749559585005045,0.04002222888171673,0.03965833131223917,75,0.9963193655014038
11,balance-scale,tabpfn,625,4,972,312,0.020135057158768177,0.020058480091392994,0.00022960172270844852,0.01994900219142437,0.021377929486334324,0.0445353032151858,0.044143167324364185,75,0.9973952293395996
14,mfeat-fourier,hybrid_8l,2000,76,972,512,0.03582448286314805,0.03490788210183382,0.0022595726561813446,0.0347486911341548,0.042014336213469505,0.3512982864677906,0.3356441557407379,75,0.9725027084350586
14,mfeat-fourier,hydra,2000,76,972,512,0.055266918192307155,0.053831933066248894,0.0035881440410445854,0.053655180148780346,0.06484318524599075,0.3712328244249026,0.35667693242430687,75,0.95686274766922
14,mfeat-fourier,hydra_small,2000,76,972,512,0.29908901470402877,0.2855496034026146,0.017282156712682458,0.28497286047786474,0.33426423370838165,0.6173939070105553,0.595192507840693,75,0.9534295678138733
14,mfeat-fourier,looped_transformer_6physical_core4x2,2000,76,972,512,0.040976714653273426,0.039561630226671696,0.002995876181863927,0.03931161481887102,0.04771280288696289,0.3544907185683648,0.339571887627244,75,0.9739287495613098
14,mfeat-fourier,tabpfn,2000,76,972,512,0.04839276877542337,0.04707040451467037,0.003231990280732312,0.04692408815026283,0.056895097717642784,0.3532691951965292,0.3483924074098468,75,0.9734832048416138
15,breast-w,hybrid_8l,683,9,972,341,0.012071358772615592,0.011976569890975952,0.00027070779352198165,0.011773635633289814,0.013550681993365288,0.05258039649575949,0.051225896924734116,75,0.9931215286254883
15,breast-w,hydra,683,9,972,341,0.0170609312877059,0.01695186458528042,0.00034087859538868006,0.01654552575200796,0.0184110589325428,0.06024186958869298,0.05722366087138653,75,0.994261109828949
15,breast-w,hydra_small,683,9,972,341,0.08150487513591846,0.08146745897829533,0.0002886799774296035,0.08132152259349823,0.0837870929390192,0.1251131900648276,0.1238683182746172,75,0.9948055386543274
15,breast-w,looped_transformer_6physical_core4x2,683,9,972,341,0.014305387288331986,0.014236429706215858,0.00023571642023058903,0.01414112001657486,0.015629899688065052,0.05454780728866657,0.05286135524511337,75,0.9943786263465881
15,breast-w,tabpfn,683,9,972,341,0.01698591121782859,0.016886462457478046,0.0004930501073154062,0.01676978077739477,0.021078022196888924,0.05946984411527713,0.05716041009873152,75,0.99424889087677
16,mfeat-karhunen,hybrid_8l,2000,64,972,512,0.03536725463966529,0.03485208749771118,0.0017379598436749817,0.034723072312772274,0.04188461974263191,0.2956370235482852,0.28898845613002777,75,0.9960234880447387
16,mfeat-karhunen,hydra,2000,64,972,512,0.054320129056771596,0.05373736470937729,0.002250581126425746,0.05364660173654556,0.06426842603832483,0.3106323665007949,0.308297005482018,75,0.9893666505813599
16,mfeat-karhunen,hydra_small,2000,64,972,512,0.2960827006523808,0.2853499101474881,0.016308155827921684,0.2849432397633791,0.3333562593907118,0.5571130507191022,0.5450202217325568,75,0.984947407245636
16,mfeat-karhunen,looped_transformer_6physical_core4x2,2000,64,972,512,0.03969967594991128,0.03944287449121475,0.0012586593012681242,0.03934469819068909,0.04722871445119381,0.2996917767201861,0.29309417214244604,75,0.9968925356864929
16,mfeat-karhunen,tabpfn,2000,64,972,512,0.047738982401788234,0.04705993365496397,0.002385923809020907,0.04690844751894474,0.05688294395804405,0.31358917338152725,0.3030243655666709,75,0.9964430451393127
18,mfeat-morphological,hybrid_8l,2000,6,972,512,0.03485927477478981,0.034823411144316196,9.394704236999933e-05,0.03474393207579851,0.03513050451874733,0.0975442541266481,0.09523401875048876,75,0.9637098550796509
18,mfeat-morphological,hydra,2000,6,972,512,0.05382259516666333,0.05378446262329817,0.00022256619867946776,0.05362872965633869,0.05524472054094076,0.12187366486837467,0.11524989921599627,75,0.9585461616516113
18,mfeat-morphological,hydra_small,2000,6,972,512,0.28512620836496355,0.2850837456062436,0.0002040334698868887,0.28486725594848394,0.28566461708396673,0.35211903822918733,0.3486360441893339,75,0.9583662986755371
18,mfeat-morphological,looped_transformer_6physical_core4x2,2000,6,972,512,0.03951471996804078,0.03950123395770788,0.00010179611972732247,0.03937760088592768,0.03978744521737099,0.1044892933095495,0.09911366924643517,75,0.9631436586380004
18,mfeat-morphological,tabpfn,2000,6,972,512,0.04707612248758475,0.04703100956976414,0.00012496130421949274,0.04691454954445362,0.04771819245070219,0.11607783631732066,0.1083395965397358,75,0.9629407286643982
22,mfeat-zernike,hybrid_8l,2000,47,972,512,0.03492012909303109,0.03486290667206049,0.0001592791078918303,0.034749302081763744,0.035750637762248516,0.25532753435273964,0.24287265725433826,75,0.9807558298110962
22,mfeat-zernike,hydra,2000,47,972,512,0.05438323680311442,0.05379839055240154,0.002319097693867903,0.053620764054358006,0.06422911025583744,0.2709983051319917,0.26132576540112495,75,0.966827130317688
22,mfeat-zernike,hydra_small,2000,47,972,512,0.29249971023450294,0.28535678144544363,0.01544425553225548,0.28489362355321646,0.33335728757083416,0.5218627890696128,0.49712887965142727,75,0.9702275991439819
22,mfeat-zernike,looped_transformer_6physical_core4x2,2000,47,972,512,0.0397977756212155,0.03949485253542662,0.0013580881236552047,0.039335230365395546,0.047384949401021004,0.24871648545066516,0.24624702986329794,75,0.9816611886024476
22,mfeat-zernike,tabpfn,2000,47,972,512,0.04707489329079787,0.04702703095972538,0.00014641638605146192,0.04689370933920145,0.0474774744361639,0.2658937884370486,0.25508606620132923,75,0.9825703024864196
23,cmc,hybrid_8l,1473,9,972,512,0.022189807978769144,0.022155331447720528,8.573881274450391e-05,0.022070230916142464,0.022445212118327618,0.0654747237637639,0.06463408749550581,75,0.7056983947753906
23,cmc,hydra,1473,9,972,512,0.03332816125204166,0.033250221982598305,0.0002469081859453466,0.033179597929120064,0.034942857921123505,0.07795913611849149,0.07651849184185266,75,0.6886843085289002
23,cmc,hydra_small,1473,9,972,512,0.1767712089046836,0.1766982600092888,0.00012866599944349991,0.1766319153830409,0.17718317825347185,0.22418126543362935,0.222403297200799,75,0.7121788263320923
23,cmc,looped_transformer_6physical_core4x2,1473,9,972,512,0.026074121668934823,0.026040182448923588,8.203900550650616e-05,0.025965770706534386,0.02630220726132393,0.06828035050382217,0.06792276725172997,75,0.7090502500534057
23,cmc,tabpfn,1473,9,972,512,0.031094783494869868,0.031061384826898575,9.202535799236523e-05,0.030994408763945103,0.03148328419774771,0.07504184938967227,0.0745569970458746,75,0.7114110112190246
29,credit-approval,hybrid_8l,653,15,972,326,0.011827723098297913,0.011791168712079525,0.00012166435141943142,0.011598924174904823,0.012299061752855778,0.07094608213752508,0.06888631451874971,75,0.9304480075836181
29,credit-approval,hydra,653,15,972,326,0.016740670651197432,0.016704747453331947,0.0002138156835705364,0.016261538490653038,0.0177197502925992,0.07602677263319492,0.0747096948325634,75,0.9309496521949768
29,credit-approval,hydra_small,653,15,972,326,0.07940974018226067,0.07935049757361412,0.00012413848045808297,0.07928544376045465,0.07985488325357437,0.14135272871702909,0.13952544704079628,75,0.9325365781784057
29,credit-approval,looped_transformer_6physical_core4x2,653,15,972,326,0.014048855478564898,0.014006074517965317,0.0001043205073070175,0.013934919610619545,0.01458816695958376,0.07214194779594739,0.07047959137707949,75,0.9345357179641723
29,credit-approval,tabpfn,653,15,972,326,0.016631563380360603,0.016592714935541153,0.000122771919632354,0.016482695937156677,0.0171432476490736,0.07654508261630932,0.07478018943220377,75,0.9354403972625732
31,credit-g,hybrid_8l,1000,20,972,500,0.016075907287498314,0.01598769798874855,0.0004406076522120068,0.01590722519904375,0.019734134897589684,0.09537399613608917,0.09362677298486233,75,0.7892918944358825
31,credit-g,hydra,1000,20,972,500,0.023013834245502948,0.022965578362345695,0.00010976683625165357,0.022892950102686882,0.023333684541285038,0.1025218091532588,0.10130121279507875,75,0.7807626128196716
31,credit-g,hydra_small,1000,20,972,500,0.11744201138615608,0.1173950806260109,0.00015674087326477112,0.11727359145879745,0.11818209197372198,0.1990249832595388,0.1980136102065444,75,0.7840957760810852
31,credit-g,looped_transformer_6physical_core4x2,1000,20,972,500,0.01928319577127695,0.019239057786762714,0.00010853579181026073,0.019146732985973358,0.019733785651624203,0.09718201354146004,0.09609678294509649,75,0.7866158604621887
31,credit-g,tabpfn,1000,20,972,500,0.022936869127055007,0.022903749719262123,8.458689631848876e-05,0.022806406021118164,0.02324702125042677,0.10308407612144947,0.10126008465886116,75,0.7896058559417725
37,diabetes,hybrid_8l,768,8,972,384,0.01293738529086113,0.012750504538416862,0.0007341614419011502,0.012532111257314682,0.017557651735842228,0.05272312521934509,0.0491074426099658,75,0.8281865119934082
37,diabetes,hydra,768,8,972,384,0.018608517932395142,0.018316950649023056,0.0010458797721405084,0.018093538470566273,0.02437775395810604,0.05922930646687746,0.05526540894061327,75,0.8420783162117005
37,diabetes,hydra_small,768,8,972,384,0.0910259301091234,0.09097394719719887,0.0003077128940788776,0.09085472207516432,0.09346019756048918,0.13438154651472967,0.13048442918807268,75,0.8434908270835877
37,diabetes,looped_transformer_6physical_core4x2,768,8,972,384,0.015197213813662529,0.015031786635518074,0.0005950882043065342,0.014921337366104126,0.018565861508250237,0.054311760030686856,0.05091529618948698,75,0.8427225947380066
37,diabetes,tabpfn,768,8,972,384,0.017920569740235804,0.0177990784868598,0.0004504627784548992,0.017677179537713528,0.0206457432359457,0.06044229228049516,0.055351221933960915,75,0.8412927031517029
50,tic-tac-toe,hybrid_8l,958,9,972,479,0.015255144089460373,0.015107008628547192,0.0005672457596248904,0.015026026405394077,0.01900678686797619,0.05781346483776967,0.05437667481601238,75,0.970254409313202
50,tic-tac-toe,hydra,958,9,972,479,0.022098717192808787,0.021875591948628426,0.0007262995234242609,0.021777327172458172,0.0258243540301919,0.0663855575149258,0.06187976058572531,75,0.7990631461143494
50,tic-tac-toe,hydra_small,958,9,972,479,0.11222761987398068,0.11213652882725,0.00027477454419057307,0.11203534808009863,0.11406613420695066,0.15762332996974388,0.15455941762775183,75,0.8773770093917846
50,tic-tac-toe,looped_transformer_6physical_core4x2,958,9,972,479,0.018331579429407916,0.018293285742402077,0.00010960633468900952,0.018187815323472023,0.018819413147866726,0.05982485463221868,0.05675586313009262,75,0.973424768447876
50,tic-tac-toe,tabpfn,958,9,972,479,0.02182219138989846,0.021724174730479717,0.0003201168897114231,0.021618444472551346,0.023393327370285988,0.06589983996003866,0.06182317156344652,75,0.9751107215881347
