model,table_size,num_features,eval_position,mean,median,std,min,max,count
hybrid_12l,512,100,256,0.3172758839325979,0.31451885600108653,0.006972593687009489,0.3122073591221124,0.33550734212622046,10
hybrid_12l,1024,100,512,0.385495855147019,0.36981447343714535,0.03658060767280226,0.36815736698918045,0.48368064081296325,10
hybrid_12l,2048,100,1024,0.49662353647872803,0.4876678514992818,0.024623204404737503,0.48133619502186775,0.5639067748561502,10
hybrid_12l,4096,100,2048,0.8814984093653038,0.73791469540447,0.1953538596947881,0.7249442781321704,1.1206141468137503,10
hybrid_12l,8192,100,4096,1.2906999276252464,1.2366249455371872,0.1274532668753291,1.229926418978721,1.6416536669712514,10
hybrid_12l,16384,100,8192,2.467585894907825,2.3857886305777356,0.17119115736487112,2.356507255928591,2.7887120358645916,10
hybrid_12l,32768,100,16384,5.60201081787236,5.548596428940073,0.19149149907045085,5.506643605185673,6.142156418878585,10
hybrid_8l,512,100,256,0.3100370218511671,0.3086952444864437,0.004306844571016635,0.3053211299702525,0.3200149859767407,10
hybrid_8l,1024,100,512,0.36404351990204303,0.36262025497853756,0.00591733512246538,0.36010665190406144,0.3801048551686108,10
hybrid_8l,2048,100,1024,0.4937028591288254,0.4715975746512413,0.07107196441766071,0.46729227202013135,0.6957809831947088,10
hybrid_8l,4096,100,2048,0.7775317628169433,0.6936877520056441,0.16361871288533653,0.6850273150485009,1.0968726288992912,10
hybrid_8l,8192,100,4096,1.236869664513506,1.1483006669441238,0.17689408195146264,1.1450480041094124,1.6809156730305403,10
hybrid_8l,16384,100,8192,2.226347296847962,2.1397883880417794,0.17627621983379704,2.1017144641373307,2.5664507700130343,10
hybrid_8l,32768,100,16384,4.710980582982302,4.707225056947209,0.02734351516732548,4.678436883958057,4.776633569970727,10
hydra,512,100,256,0.3811614693375304,0.3774710203288123,0.012238633209426803,0.37320021889172494,0.41528997709974647,10
hydra,1024,100,512,0.4761816167505458,0.46834738249890506,0.012197851233389304,0.4656438259407878,0.492130622966215,10
hydra,2048,100,1024,0.7264696635771543,0.7086994354613125,0.07340604209564114,0.6739669339731336,0.928113907109946,10
hydra,4096,100,2048,1.1351359323132784,1.0815112905111164,0.1279174940360334,1.076433460926637,1.4757526838220656,10
hydra,8192,100,4096,1.9713827651692555,1.895969168865122,0.15816586997741006,1.8882283449638635,2.282445902004838,10
hydra,16384,100,8192,3.5732167745940386,3.4960284309927374,0.18251225785019287,3.465364388888702,3.9301799298264086,10
hydra,32768,100,16384,7.270187709783204,7.266807477455586,0.03571094249882199,7.2220309160184115,7.3509538429789245,10
tabpfn,512,100,256,0.3241056719794869,0.32060739339794964,0.013340386506818647,0.31161361490376294,0.35068992199376225,10
tabpfn,1024,100,512,0.3748352118767798,0.3693560945102945,0.00901297808541807,0.3683376288972795,0.39327025203965604,10
tabpfn,2048,100,1024,0.5254856463056058,0.4867844340624288,0.11980814253237654,0.48276082589291036,0.8662089651916176,10
tabpfn,4096,100,2048,0.8212148961843923,0.7436951434938237,0.15850715625505293,0.73906314605847,1.1237172139808536,10
tabpfn,8192,100,4096,1.337777316616848,1.3150800180155784,0.06595069159683996,1.3109720749780536,1.5242022359743714,10
tabpfn,16384,100,8192,2.835931294225156,2.7662454519886523,0.14627981108192933,2.7355721450876445,3.1511854180134833,10
tabpfn,32768,100,16384,7.225470929010771,7.221595676499419,0.017124783790832585,7.2034504970069975,7.250859308987856,10
