did,dataset_name,model,num_samples,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds,mean_metric
11,balance-scale,hybrid_8l,625,4,972,1,ok,,0.0383785255253315,0.014355855993926525,0.9993098974227905
11,balance-scale,hydra,625,4,972,1,ok,,0.04911021515727043,0.022212008014321327,0.9934437274932861
11,balance-scale,tabpfn,625,4,972,1,ok,,0.04377161059528589,0.01987541187554598,0.9993955492973328
11,balance-scale,tabpfn,625,4,972,2,ok,,0.04366626124829054,0.019789359532296658,0.996491014957428
11,balance-scale,hybrid_8l,625,4,972,2,ok,,0.037734695710241795,0.01430316548794508,0.9926596283912659
11,balance-scale,hydra,625,4,972,2,ok,,0.04562688618898392,0.021555354818701744,0.9822571873664856
11,balance-scale,tabpfn,625,4,972,3,ok,,0.04339926689863205,0.019840365275740623,0.998451828956604
11,balance-scale,hybrid_8l,625,4,972,3,ok,,0.03717619739472866,0.014271777123212814,0.9962307810783386
11,balance-scale,hydra,625,4,972,3,ok,,0.04529722221195698,0.021545476280152798,0.9882017970085144
11,balance-scale,tabpfn,625,4,972,4,ok,,0.04451997857540846,0.019831168465316296,0.9949772357940674
11,balance-scale,hybrid_8l,625,4,972,4,ok,,0.038123381324112415,0.014313937164843082,0.9892569780349731
11,balance-scale,hydra,625,4,972,4,ok,,0.046192687936127186,0.021549132652580738,0.9771883487701416
11,balance-scale,tabpfn,625,4,972,5,ok,,0.044569662772119045,0.019818894565105438,0.9976605176925659
11,balance-scale,hydra,625,4,972,5,ok,,0.04642779380083084,0.021598386578261852,0.9914498925209045
11,balance-scale,hybrid_8l,625,4,972,5,ok,,0.038942763581871986,0.014353160746395588,0.9940381646156311
11,balance-scale,tabpfn,625,4,972,6,ok,,0.04382473137229681,0.019866115413606167,0.9982923269271851
11,balance-scale,hydra,625,4,972,6,ok,,0.045500366017222404,0.021659281104803085,0.987230122089386
11,balance-scale,hybrid_8l,625,4,972,6,ok,,0.03823428228497505,0.014294869266450405,0.9954671859741211
11,balance-scale,tabpfn,625,4,972,7,ok,,0.05100364238023758,0.020002052187919617,0.9979758858680725
11,balance-scale,hybrid_8l,625,4,972,7,ok,,0.040402489714324474,0.014457439072430134,0.9926635026931763
11,balance-scale,hydra,625,4,972,7,ok,,0.049140662886202335,0.022136646322906017,0.9872779250144958
11,balance-scale,hybrid_8l,625,4,972,8,ok,,0.03812524490058422,0.014296763576567173,0.9972023367881775
11,balance-scale,tabpfn,625,4,972,8,ok,,0.04808686673641205,0.020934388041496277,0.9999569654464722
11,balance-scale,hydra,625,4,972,8,ok,,0.047675687819719315,0.021815186366438866,0.9931101202964783
11,balance-scale,hydra,625,4,972,9,ok,,0.047170720994472504,0.022098423913121223,0.9941210150718689
11,balance-scale,tabpfn,625,4,972,9,ok,,0.04605103004723787,0.020913698710501194,0.9998287558555603
11,balance-scale,hybrid_8l,625,4,972,9,ok,,0.039074964821338654,0.014729424379765987,0.9979451894760132
11,balance-scale,tabpfn,625,4,972,10,ok,,0.044018969871103764,0.02024712599813938,0.9993695616722107
11,balance-scale,hydra,625,4,972,10,ok,,0.045441183261573315,0.021989066153764725,0.9870942831039429
11,balance-scale,hybrid_8l,625,4,972,10,ok,,0.037208967842161655,0.014302724972367287,0.9954403042793274
14,mfeat-fourier,hydra,2000,76,972,1,ok,,0.3535063350573182,0.05349485110491514,0.9607399106025696
14,mfeat-fourier,hybrid_8l,2000,76,972,1,ok,,0.336242850869894,0.03464847803115845,0.9729669094085693
14,mfeat-fourier,tabpfn,2000,76,972,1,ok,,0.34779426362365484,0.04679805412888527,0.9763577580451965
14,mfeat-fourier,hydra,2000,76,972,2,ok,,0.3486323719844222,0.05374283995479345,0.9541035890579224
14,mfeat-fourier,tabpfn,2000,76,972,2,ok,,0.3427825290709734,0.04679812490940094,0.9726930856704712
14,mfeat-fourier,hybrid_8l,2000,76,972,2,ok,,0.3370140418410301,0.041323473677039146,0.9723188877105713
14,mfeat-fourier,hybrid_8l,2000,76,972,3,ok,,0.34665627870708704,0.04155644495040178,0.9679796695709229
14,mfeat-fourier,hydra,2000,76,972,3,ok,,0.36537899635732174,0.06394269317388535,0.9539015293121338
14,mfeat-fourier,tabpfn,2000,76,972,3,ok,,0.35914826299995184,0.05613069422543049,0.9682010412216187
14,mfeat-fourier,hydra,2000,76,972,4,ok,,0.3695780420675874,0.06388824991881847,0.9601684212684631
14,mfeat-fourier,tabpfn,2000,76,972,4,ok,,0.3584375372156501,0.056034030392766,0.9759479761123657
14,mfeat-fourier,hybrid_8l,2000,76,972,4,ok,,0.3990867929533124,0.0414119902998209,0.9751428365707397
14,mfeat-fourier,hydra,2000,76,972,5,ok,,0.3683101702481508,0.06387290265411139,0.955400288105011
14,mfeat-fourier,hybrid_8l,2000,76,972,5,ok,,0.344194695353508,0.041437478736042976,0.9741052389144897
14,mfeat-fourier,tabpfn,2000,76,972,5,ok,,0.379505667835474,0.0560320969671011,0.9742161631584167
14,mfeat-fourier,hybrid_8l,2000,76,972,6,ok,,0.34694891329854727,0.04133263137191534,0.9742677211761475
14,mfeat-fourier,hydra,2000,76,972,6,ok,,0.3703060895204544,0.06384935695677996,0.9619619250297546
14,mfeat-fourier,tabpfn,2000,76,972,6,ok,,0.36190022621303797,0.056015586480498314,0.9758619666099548
14,mfeat-fourier,hybrid_8l,2000,76,972,7,ok,,0.34593942016363144,0.04125997330993414,0.9749643802642822
14,mfeat-fourier,tabpfn,2000,76,972,7,ok,,0.39286038745194674,0.0561367254704237,0.9774750471115112
14,mfeat-fourier,hydra,2000,76,972,7,ok,,0.36740768048912287,0.06421526055783033,0.9615145921707153
14,mfeat-fourier,hybrid_8l,2000,76,972,8,ok,,0.3439019499346614,0.04126058332622051,0.9794492125511169
14,mfeat-fourier,hydra,2000,76,972,8,ok,,0.37116672098636627,0.06384792365133762,0.9674370288848877
14,mfeat-fourier,tabpfn,2000,76,972,8,ok,,0.35993344988673925,0.05614717584103346,0.9817882776260376
14,mfeat-fourier,tabpfn,2000,76,972,9,ok,,0.36530478671193123,0.056246683932840824,0.9772804975509644
14,mfeat-fourier,hybrid_8l,2000,76,972,9,ok,,0.3480941615998745,0.04160353448241949,0.9732940196990967
14,mfeat-fourier,hydra,2000,76,972,9,ok,,0.3676644964143634,0.06384292524307966,0.9634541869163513
14,mfeat-fourier,hybrid_8l,2000,76,972,10,ok,,0.34058495704084635,0.04172984417527914,0.974552571773529
14,mfeat-fourier,hydra,2000,76,972,10,ok,,0.36210209783166647,0.06384939700365067,0.9640849828720093
14,mfeat-fourier,tabpfn,2000,76,972,10,ok,,0.35449518729001284,0.05612367112189531,0.9783384203910828
15,breast-w,hybrid_8l,683,9,972,1,ok,,0.05602764990180731,0.014955401420593262,0.993087887763977
15,breast-w,tabpfn,683,9,972,1,ok,,0.06200180668383837,0.020137969404459,0.9940646290779114
15,breast-w,hydra,683,9,972,1,ok,,0.060175457037985325,0.019779651425778866,0.9946280717849731
15,breast-w,tabpfn,683,9,972,2,ok,,0.06125596445053816,0.019391676411032677,0.9937295913696289
15,breast-w,hybrid_8l,683,9,972,2,ok,,0.05432675685733557,0.013552173040807247,0.9918674230575562
15,breast-w,hydra,683,9,972,2,ok,,0.060427865013480186,0.019117577001452446,0.993349552154541
15,breast-w,hybrid_8l,683,9,972,3,ok,,0.05471492279320955,0.0136391781270504,0.9920253157615662
15,breast-w,hydra,683,9,972,3,ok,,0.05951895285397768,0.019117466174066067,0.9939712882041931
15,breast-w,tabpfn,683,9,972,3,ok,,0.05997923482209444,0.01936399284750223,0.9934371113777161
15,breast-w,tabpfn,683,9,972,4,ok,,0.05938264448195696,0.019395042210817337,0.9946743249893188
15,breast-w,hybrid_8l,683,9,972,4,ok,,0.05241347197443247,0.013512207195162773,0.9936015605926514
15,breast-w,hydra,683,9,972,4,ok,,0.058938043192029,0.01909091416746378,0.9942528605461121
15,breast-w,hydra,683,9,972,5,ok,,0.05984034202992916,0.019077850505709648,0.9951037764549255
15,breast-w,hybrid_8l,683,9,972,5,ok,,0.05384247936308384,0.013464516960084438,0.9950254559516907
15,breast-w,tabpfn,683,9,972,5,ok,,0.060300313867628574,0.01952041033655405,0.9953387975692749
15,breast-w,hydra,683,9,972,6,ok,,0.0663601029664278,0.02006363868713379,0.9946656823158264
15,breast-w,tabpfn,683,9,972,6,ok,,0.060377899557352066,0.019508386962115765,0.9945529699325562
15,breast-w,hybrid_8l,683,9,972,6,ok,,0.0547202629968524,0.01434622798115015,0.9933133125305176
15,breast-w,hybrid_8l,683,9,972,7,ok,,0.05275090131908655,0.013522547669708729,0.9928352236747742
15,breast-w,hydra,683,9,972,7,ok,,0.05890592187643051,0.019120892509818077,0.9933333396911621
15,breast-w,tabpfn,683,9,972,7,ok,,0.059752034954726696,0.01959381904453039,0.9936398267745972
15,breast-w,hybrid_8l,683,9,972,8,ok,,0.05363468546420336,0.01352040283381939,0.9932158589363098
15,breast-w,hydra,683,9,972,8,ok,,0.059947215020656586,0.01924295350909233,0.994892418384552
15,breast-w,tabpfn,683,9,972,8,ok,,0.060434767976403236,0.01943017914891243,0.994268536567688
15,breast-w,hybrid_8l,683,9,972,9,ok,,0.05155139043927193,0.013464267365634441,0.9960620999336243
15,breast-w,tabpfn,683,9,972,9,ok,,0.0580269368365407,0.01940111443400383,0.9965689182281494
15,breast-w,hydra,683,9,972,9,ok,,0.05767206382006407,0.01904873549938202,0.9962959885597229
15,breast-w,hydra,683,9,972,10,ok,,0.055563630536198616,0.019003851339221,0.9962225556373596
15,breast-w,hybrid_8l,683,9,972,10,ok,,0.04931143578141928,0.013411276042461395,0.996985673904419
15,breast-w,tabpfn,683,9,972,10,ok,,0.05609052907675505,0.019423366524279118,0.9965277910232544
16,mfeat-karhunen,hybrid_8l,2000,64,972,1,ok,,0.29429824091494083,0.041474368423223495,0.9943613409996033
