did,split,hybrid_8l,tabpfn,hydra,best_model,best_score,margin_to_second
11,1,0.9993098974227905,0.9993955492973328,0.9934437274932861,tabpfn,0.9993955492973328,8.565187454223633e-05
11,2,0.9926596283912659,0.996491014957428,0.9822571873664856,tabpfn,0.996491014957428,0.0038313865661621094
11,3,0.9962307810783386,0.998451828956604,0.9882017970085144,tabpfn,0.998451828956604,0.002221047878265381
11,4,0.9892569780349731,0.9949772357940674,0.9771883487701416,tabpfn,0.9949772357940674,0.005720257759094238
11,5,0.9940381646156311,0.9976605176925659,0.9914498925209045,tabpfn,0.9976605176925659,0.0036223530769348145
14,1,0.9729669094085693,0.9763577580451965,0.9607399106025696,tabpfn,0.9763577580451965,0.0033908486366271973
14,2,0.9723188877105713,0.9726930856704712,0.954098105430603,tabpfn,0.9726930856704712,0.00037419795989990234
14,3,0.9679796695709229,0.9682010412216187,0.9539058804512024,tabpfn,0.9682010412216187,0.00022137165069580078
14,4,0.9751428365707397,0.9759479761123657,0.9601684212684631,tabpfn,0.9759479761123657,0.0008051395416259766
14,5,0.9741052389144897,0.9742161631584167,0.9554125070571899,tabpfn,0.9742161631584167,0.00011092424392700195
15,1,0.993087887763977,0.9940646290779114,0.9946280717849731,hydra,0.9946280717849731,0.0005634427070617676
15,2,0.9918674230575562,0.9937295913696289,0.993349552154541,tabpfn,0.9937295913696289,0.0003800392150878906
15,3,0.9920253157615662,0.9934371113777161,0.9939712882041931,hydra,0.9939712882041931,0.0005341768264770508
15,4,0.9936015605926514,0.9946743249893188,0.9942528605461121,tabpfn,0.9946743249893188,0.0004214644432067871
15,5,0.9950254559516907,0.9953387975692749,0.9951037764549255,tabpfn,0.9953387975692749,0.00023502111434936523
16,1,0.9943613409996033,0.9949474930763245,0.9864434599876404,tabpfn,0.9949474930763245,0.0005861520767211914
16,2,0.9961678981781006,0.9969623684883118,0.9898191690444946,tabpfn,0.9969623684883118,0.0007944703102111816
16,3,0.9949135780334473,0.9948896169662476,0.9873192310333252,hybrid_8l,0.9949135780334473,2.396106719970703e-05
16,4,0.9983769059181213,0.9984362125396729,0.9933557510375977,tabpfn,0.9984362125396729,5.930662155151367e-05
16,5,0.9962977170944214,0.9969795346260071,0.9898902773857117,tabpfn,0.9969795346260071,0.0006818175315856934
18,1,0.9659136533737183,0.9655472040176392,0.9611010551452637,hybrid_8l,0.9659136533737183,0.00036644935607910156
18,2,0.961776077747345,0.959438681602478,0.9581505656242371,hybrid_8l,0.961776077747345,0.0023373961448669434
18,3,0.9649181365966797,0.9626619219779968,0.9563263654708862,hybrid_8l,0.9649181365966797,0.0022562146186828613
18,4,0.9606669545173645,0.9615218639373779,0.9546549320220947,tabpfn,0.9615218639373779,0.0008549094200134277
18,5,0.9652762413024902,0.965533971786499,0.9624843597412109,tabpfn,0.965533971786499,0.00025773048400878906
22,1,0.9785817265510559,0.9807880520820618,0.959888756275177,tabpfn,0.9807880520820618,0.0022063255310058594
22,2,0.9822232723236084,0.9839026927947998,0.9669663310050964,tabpfn,0.9839026927947998,0.0016794204711914062
22,3,0.9789596796035767,0.9811184406280518,0.9645849466323853,tabpfn,0.9811184406280518,0.0021587610244750977
22,4,0.9829148054122925,0.9846197962760925,0.9780209064483643,tabpfn,0.9846197962760925,0.0017049908638000488
22,5,0.9810996651649475,0.9824225306510925,0.9646868109703064,tabpfn,0.9824225306510925,0.0013228654861450195
23,1,0.695460855960846,0.701123058795929,0.6866907477378845,tabpfn,0.701123058795929,0.005662202835083008
23,2,0.7020114660263062,0.7031378149986267,0.6782634258270264,tabpfn,0.7031378149986267,0.0011263489723205566
23,3,0.6997268795967102,0.7065351009368896,0.6708348393440247,tabpfn,0.7065351009368896,0.006808221340179443
23,4,0.7113727927207947,0.7171720266342163,0.7040572166442871,tabpfn,0.7171720266342163,0.005799233913421631
23,5,0.7199289202690125,0.7290870547294617,0.7035810351371765,tabpfn,0.7290870547294617,0.009158134460449219
29,1,0.9405257701873779,0.9488513469696045,0.9469627141952515,tabpfn,0.9488513469696045,0.0018886327743530273
29,2,0.9307692050933838,0.939894437789917,0.9343891143798828,tabpfn,0.939894437789917,0.00550532341003418
29,3,0.9202840924263,0.9222486615180969,0.9152971506118774,tabpfn,0.9222486615180969,0.001964569091796875
29,4,0.9256366491317749,0.9315978288650513,0.927523136138916,tabpfn,0.9315978288650513,0.004074692726135254
29,5,0.9350243210792542,0.9346097111701965,0.930614709854126,hybrid_8l,0.9350243210792542,0.0004146099090576172
31,1,0.7922534942626953,0.79292231798172,0.7867259383201599,tabpfn,0.79292231798172,0.0006688237190246582
31,2,0.7905789017677307,0.7854537963867188,0.7776221036911011,hybrid_8l,0.7905789017677307,0.005125105381011963
31,3,0.7788193225860596,0.7814569473266602,0.764340877532959,tabpfn,0.7814569473266602,0.002637624740600586
31,4,0.7884290814399719,0.7924792766571045,0.7906557321548462,tabpfn,0.7924792766571045,0.0018235445022583008
31,5,0.7963786721229553,0.7957169413566589,0.784448504447937,hybrid_8l,0.7963786721229553,0.0006617307662963867
37,1,0.8109517097473145,0.8213162422180176,0.8249408602714539,hydra,0.8249408602714539,0.0036246180534362793
37,2,0.8336457014083862,0.8464078307151794,0.8541722297668457,hydra,0.8541722297668457,0.00776439905166626
37,3,0.8317700624465942,0.8479437232017517,0.8457491397857666,tabpfn,0.8479437232017517,0.0021945834159851074
37,4,0.8294880986213684,0.835486650466919,0.8299495577812195,tabpfn,0.835486650466919,0.005537092685699463
37,5,0.8350769877433777,0.8553090691566467,0.8556697964668274,hydra,0.8556697964668274,0.00036072731018066406
50,1,0.9690789580345154,0.979830801486969,0.8214661478996277,tabpfn,0.979830801486969,0.010751843452453613
50,2,0.9755481481552124,0.9807134866714478,0.7914530038833618,tabpfn,0.9807134866714478,0.0051653385162353516
50,3,0.9678456783294678,0.9673097729682922,0.7898867130279541,hybrid_8l,0.9678456783294678,0.0005359053611755371
50,4,0.9664528965950012,0.9663028717041016,0.7952294945716858,hybrid_8l,0.9664528965950012,0.0001500248908996582
50,5,0.9723463654518127,0.9813966751098633,0.7973743081092834,tabpfn,0.9813966751098633,0.009050309658050537
54,1,0.9561764597892761,0.9591176509857178,0.9270367622375488,tabpfn,0.9591176509857178,0.0029411911964416504
54,2,0.9517263770103455,0.9552718997001648,0.9316560626029968,tabpfn,0.9552718997001648,0.003545522689819336
54,3,0.9502933621406555,0.961459219455719,0.9262009263038635,tabpfn,0.961459219455719,0.011165857315063477
54,4,0.9486177563667297,0.9565224051475525,0.9323957562446594,tabpfn,0.9565224051475525,0.007904648780822754
54,5,0.9402631521224976,0.9536774754524231,0.9165899753570557,tabpfn,0.9536774754524231,0.013414323329925537
188,1,0.9106759428977966,0.9160637855529785,0.9020155072212219,tabpfn,0.9160637855529785,0.005387842655181885
188,2,0.9190394282341003,0.919638454914093,0.9035791754722595,tabpfn,0.919638454914093,0.0005990266799926758
188,3,0.9175295829772949,0.9235729575157166,0.9069083333015442,tabpfn,0.9235729575157166,0.006043374538421631
188,4,0.9154658317565918,0.9144350290298462,0.8931503891944885,hybrid_8l,0.9154658317565918,0.0010308027267456055
188,5,0.894574761390686,0.9000552296638489,0.8906342387199402,tabpfn,0.9000552296638489,0.005480468273162842
458,1,1.0,1.0,1.0,hybrid_8l,1.0,0.0
458,2,1.0,1.0,0.999993085861206,hybrid_8l,1.0,0.0
458,3,0.999984860420227,0.999984860420227,0.9996320009231567,hybrid_8l,0.999984860420227,0.0
458,4,1.0,1.0,0.9999876022338867,hybrid_8l,1.0,0.0
458,5,1.0,0.9999935030937195,0.999954879283905,hybrid_8l,1.0,6.496906280517578e-06
469,1,0.5852188467979431,0.5784197449684143,0.5566450953483582,hybrid_8l,0.5852188467979431,0.006799101829528809
469,2,0.5948212146759033,0.580539345741272,0.5803341269493103,hybrid_8l,0.5948212146759033,0.014281868934631348
469,3,0.5881410837173462,0.5788693428039551,0.5845770239830017,hybrid_8l,0.5881410837173462,0.0035640597343444824
469,4,0.5750206112861633,0.5597556829452515,0.5451471209526062,hybrid_8l,0.5750206112861633,0.015264928340911865
469,5,0.5955395102500916,0.5796971321105957,0.5643451809883118,hybrid_8l,0.5955395102500916,0.01584237813949585
1049,1,0.9100293517112732,0.9093576669692993,0.9021812081336975,hybrid_8l,0.9100293517112732,0.000671684741973877
1049,2,0.9418389201164246,0.947900116443634,0.9260069131851196,tabpfn,0.947900116443634,0.006061196327209473
1049,3,0.9231733083724976,0.9390095472335815,0.9174008965492249,tabpfn,0.9390095472335815,0.015836238861083984
1049,4,0.9312382340431213,0.929912805557251,0.9052409529685974,hybrid_8l,0.9312382340431213,0.0013254284858703613
1049,5,0.942130446434021,0.939146876335144,0.9187935590744019,hybrid_8l,0.942130446434021,0.002983570098876953
1050,1,0.8503279685974121,0.8528215885162354,0.8497858643531799,tabpfn,0.8528215885162354,0.002493619918823242
1050,2,0.8372855186462402,0.8394255042076111,0.8121457695960999,tabpfn,0.8394255042076111,0.0021399855613708496
1050,3,0.8125558495521545,0.8120454549789429,0.7977117300033569,hybrid_8l,0.8125558495521545,0.0005103945732116699
1050,4,0.7924802899360657,0.7964913845062256,0.7844139933586121,tabpfn,0.7964913845062256,0.004011094570159912
1050,5,0.8440075516700745,0.8180676102638245,0.83576500415802,hybrid_8l,0.8440075516700745,0.008242547512054443
1063,1,0.8174407482147217,0.8705213069915771,0.8613269925117493,tabpfn,0.8705213069915771,0.00919431447982788
1063,2,0.7895734310150146,0.8116587400436401,0.8173459768295288,hydra,0.8173459768295288,0.005687236785888672
1063,3,0.7857757210731506,0.7999656200408936,0.7895596623420715,tabpfn,0.7999656200408936,0.010405957698822021
1063,4,0.8009582161903381,0.8702961802482605,0.8682926893234253,tabpfn,0.8702961802482605,0.002003490924835205
