model,display_name,parameters,seq_len,num_features,num_classes,batch_size,eval_position,train_tokens,test_tokens,step_seconds,step_seconds,step_seconds,step_seconds,step_seconds,step_seconds,examples_per_second,examples_per_second,examples_per_second,examples_per_second,examples_per_second,examples_per_second,tokens_per_second,tokens_per_second,tokens_per_second,tokens_per_second,tokens_per_second,tokens_per_second
,,,,,,,,,,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count
nanotabpfn,NanoTabPFN,356066,150,5,2,32,75,2400,2400,0.02978243064135313,0.027663585264235735,0.0032101186573704164,0.02703711809590459,0.03336033644154668,5,1084.172944089125,1156.7553407970768,112.67081823902438,959.2229399745344,1183.5580954483148,5,162625.94161336875,173513.3011195615,16900.622735853645,143883.44099618014,177533.7143172472,5
