did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,inference_mean,inference_median,inference_std,inference_min,inference_max,end_to_end_mean,end_to_end_median,count,mean_metric
11,balance-scale,hybrid_8l,625,4,972,312,0.014708582398792108,0.014563953503966331,0.00041377561058054995,0.014446910470724106,0.01769588701426983,0.050601031687110665,0.03844013949856162,150,0.9942990899085998
11,balance-scale,hydra,625,4,972,312,0.021944473839054505,0.021812220569700003,0.0003563554905093655,0.02172865718603134,0.024691139347851276,0.05714046554639936,0.0463535119779408,150,0.9865081906318665
11,balance-scale,hydra_small,625,4,972,312,0.11231223399440447,0.11227815365418792,0.00018520806846215038,0.11208238359540701,0.11362529639154673,0.14877230155592164,0.1387598509900272,150,0.9939501166343689
11,balance-scale,tabpfn,625,4,972,312,0.02019979148482283,0.02011898811906576,0.00027483429556240604,0.020033234730362892,0.023112368769943714,0.054851391644527514,0.044581450056284666,150,0.9973952293395996
14,mfeat-fourier,hybrid_8l,2000,76,972,512,0.03664000206316511,0.035118536092340946,0.002875764216057084,0.034853072836995125,0.04489105101674795,0.5317356449676057,0.4233302869834006,150,0.9725027084350586
14,mfeat-fourier,hydra,2000,76,972,512,0.056435534873356424,0.05408234940841794,0.004333935335568754,0.05381850525736809,0.06561779975891113,0.5658096884874007,0.4465402909554541,150,0.95686274766922
14,mfeat-fourier,hydra_small,2000,76,972,512,0.30468706392372646,0.306368098128587,0.017257685575068925,0.2862449735403061,0.3330624233931303,0.8020816832656662,0.703704867977649,150,0.953426992893219
14,mfeat-fourier,tabpfn,2000,76,972,512,0.04902793175230424,0.04722038982436061,0.003667407918010551,0.04698202293366194,0.05942195188254118,0.5288659357155363,0.40310763847082853,150,0.9734832048416138
15,breast-w,hybrid_8l,683,9,972,341,0.012268606542299191,0.012039099354296923,0.0008632239912922975,0.011905825696885586,0.018950984813272953,0.07333345428730051,0.08079694909974933,150,0.9931215286254883
15,breast-w,hydra,683,9,972,341,0.01757642215117812,0.017036632634699345,0.0015878005364485203,0.016769402660429478,0.02749929018318653,0.08062991944452126,0.08615915896371007,150,0.994261109828949
15,breast-w,hydra_small,683,9,972,341,0.08200766788795591,0.08175572147592902,0.001416083321431807,0.08161073178052902,0.09800132550299168,0.14619078763450186,0.13487717928364873,150,0.9948055386543274
15,breast-w,tabpfn,683,9,972,341,0.01706263388196627,0.01695976173505187,0.0003564564405329862,0.0168843986466527,0.019652272574603558,0.07967171885073185,0.087695078458637,150,0.99424889087677
