did,best_model,best_score,margin_to_second,hybrid_8l_mean,hybrid_8l_std,hybrid_8l_min,hybrid_8l_max,hybrid_8l_median,hybrid_8l,tabpfn_mean,tabpfn_std,tabpfn_min,tabpfn_max,tabpfn_median,tabpfn,hydra_mean,hydra_std,hydra_min,hydra_max,hydra_median,hydra
11,tabpfn,0.9973952293395996,0.0030961394309997337,0.9942990899085998,0.0037755274777510816,0.9892569780349731,0.9993098974227905,0.9940381646156311,0.9942990899085998,0.9973952293395996,0.001721362616456837,0.9949772357940674,0.9993955492973328,0.9976605176925659,0.9973952293395996,0.9865081906318665,0.006714180381198699,0.9771883487701416,0.9934437274932861,0.9882017970085144,0.9865081906318665
14,tabpfn,0.9734832048416138,0.0009804964065551758,0.9725027084350586,0.002749796977931406,0.9679796695709229,0.9751428365707397,0.9729669094085693,0.9725027084350586,0.9734832048416138,0.0032939688160534297,0.9682010412216187,0.9763577580451965,0.9742161631584167,0.9734832048416138,0.9568649649620056,0.0033335174388268193,0.9539058804512024,0.9607399106025696,0.9554125070571899,0.9568649649620056
15,hydra,0.994261109828949,1.2218952178955078e-05,0.9931215286254883,0.001287533016961951,0.9918674230575562,0.9950254559516907,0.993087887763977,0.9931215286254883,0.99424889087677,0.0007634626916567466,0.9934371113777161,0.9953387975692749,0.9940646290779114,0.99424889087677,0.994261109828949,0.0006632778713177654,0.993349552154541,0.9951037764549255,0.9942528605461121,0.994261109828949
16,tabpfn,0.9964430451393127,0.0004195570945739746,0.9960234880447387,0.0015515528171707298,0.9943613409996033,0.9983769059181213,0.9961678981781006,0.9960234880447387,0.9964430451393127,0.0015149297886361372,0.9948896169662476,0.9984362125396729,0.9969623684883118,0.9964430451393127,0.9893655776977539,0.0026985572412475565,0.9864434599876404,0.9933557510375977,0.9898191690444946,0.9893655776977539
18,hybrid_8l,0.9637102127075196,0.0007694840431213823,0.9637102127075196,0.002332861703350797,0.9606669545173645,0.9659136533737183,0.9649181365966797,0.9637102127075196,0.9629407286643982,0.0026397853872637046,0.959438681602478,0.9655472040176392,0.9626619219779968,0.9629407286643982,0.9585434556007385,0.003250481028776372,0.9546549320220947,0.9624843597412109,0.9581505656242371,0.9585434556007385
22,tabpfn,0.9825703024864196,0.0018144726753234197,0.9807558298110962,0.0019290973587365492,0.9785817265510559,0.9829148054122925,0.9810996651649475,0.9807558298110962,0.9825703024864196,0.0016794228623776023,0.9807880520820618,0.9846197962760925,0.9824225306510925,0.9825703024864196,0.9668295502662658,0.0067651563277488485,0.959888756275177,0.9780209064483643,0.9646868109703064,0.9668295502662658
23,tabpfn,0.7114110112190246,0.005710828304290705,0.7057001829147339,0.009858578371012222,0.695460855960846,0.7199289202690125,0.7020114660263062,0.7057001829147339,0.7114110112190246,0.011658624003687739,0.701123058795929,0.7290870547294617,0.7065351009368896,0.7114110112190246,0.6886854529380798,0.014911500529063166,0.6708348393440247,0.7040572166442871,0.6866907477378845,0.6886854529380798
29,tabpfn,0.9354403972625732,0.004483032226562433,0.9304480075836181,0.007890840475285935,0.9202840924263,0.9405257701873779,0.9307692050933838,0.9304480075836181,0.9354403972625732,0.009863687346646017,0.9222486615180969,0.9488513469696045,0.9346097111701965,0.9354403972625732,0.9309573650360108,0.011457549495523897,0.9152971506118774,0.9469627141952515,0.930614709854126,0.9309573650360108
31,tabpfn,0.7896058559417725,0.0003139615058899148,0.7892918944358825,0.006539669081995239,0.7788193225860596,0.7963786721229553,0.7905789017677307,0.7892918944358825,0.7896058559417725,0.00592125709169756,0.7814569473266602,0.7957169413566589,0.7924792766571045,0.7896058559417725,0.7807586312294006,0.010326627794787224,0.764340877532959,0.7906557321548462,0.784448504447937,0.7807586312294006
37,hydra,0.8420963168144227,0.0008036136627197488,0.8281865119934082,0.009859713170170044,0.8109517097473145,0.8350769877433777,0.8317700624465942,0.8281865119934082,0.8412927031517029,0.013225244354026854,0.8213162422180176,0.8553090691566467,0.8464078307151794,0.8412927031517029,0.8420963168144227,0.01401127745226248,0.8249408602714539,0.8556697964668274,0.8457491397857666,0.8420963168144227
