did,best_model,best_score,margin_to_second,hybrid_8l_mean,hybrid_8l_std,tabpfn_mean,tabpfn_std,hydra_mean,hydra_std
11,tabpfn,0.9973952293395996,0.0030961394309997337,0.9942990899085998,0.0037755274777510816,0.9973952293395996,0.001721362616456837,0.9865081906318665,0.006714180381198699
14,tabpfn,0.9734832048416138,0.0009804964065551758,0.9725027084350586,0.002749796977931406,0.9734832048416138,0.0032939688160534297,0.9568649649620056,0.0033335174388268193
15,hydra,0.994261109828949,1.2218952178955078e-05,0.9931215286254883,0.001287533016961951,0.99424889087677,0.0007634626916567466,0.994261109828949,0.0006632778713177654
16,tabpfn,0.9964430451393127,0.0004195570945739746,0.9960234880447387,0.0015515528171707298,0.9964430451393127,0.0015149297886361372,0.9893655776977539,0.0026985572412475565
18,hybrid_8l,0.9637102127075196,0.0007694840431213823,0.9637102127075196,0.002332861703350797,0.9629407286643982,0.0026397853872637046,0.9585434556007385,0.003250481028776372
22,tabpfn,0.9825703024864196,0.0018144726753234197,0.9807558298110962,0.0019290973587365492,0.9825703024864196,0.0016794228623776023,0.9668295502662658,0.0067651563277488485
23,tabpfn,0.7114110112190246,0.005710828304290705,0.7057001829147339,0.009858578371012222,0.7114110112190246,0.011658624003687739,0.6886854529380798,0.014911500529063166
29,tabpfn,0.9354403972625732,0.004483032226562433,0.9304480075836181,0.007890840475285935,0.9354403972625732,0.009863687346646017,0.9309573650360108,0.011457549495523897
31,tabpfn,0.7896058559417725,0.0003139615058899148,0.7892918944358825,0.006539669081995239,0.7896058559417725,0.00592125709169756,0.7807586312294006,0.010326627794787224
37,hydra,0.8420963168144227,0.0008036136627197488,0.8281865119934082,0.009859713170170044,0.8412927031517029,0.013225244354026854,0.8420963168144227,0.01401127745226248
50,tabpfn,0.9751107215881347,0.0048563122749327725,0.970254409313202,0.0036754292613411276,0.9751107215881347,0.007609473724519128,0.7990819334983825,0.012860433226422247
54,tabpfn,0.9572097301483155,0.007794308662414595,0.9494154214859009,0.005835735564424857,0.9572097301483155,0.0030984975001861065,0.9267758965492249,0.006315664571765889
188,tabpfn,0.9147530913352966,0.0032959818840025967,0.911457109451294,0.009950631193458138,0.9147530913352966,0.008937323948097823,0.8992575287818909,0.00700849788504447
458,hybrid_8l,0.9999969720840454,1.2993812560369022e-06,0.9999969720840454,6.770625904619057e-06,0.9999956727027893,6.6668801018720376e-06,0.9999135136604309,0.00015832030416056565
469,hybrid_8l,0.5877482533454895,0.012292003631591775,0.5877482533454895,0.008355769738767197,0.5754562497138977,0.008814225067295896,0.5662097096443176,0.016397014639541522
1049,tabpfn,0.933065402507782,0.0033833503723145197,0.9296820521354675,0.013544058117708984,0.933065402507782,0.014700182906071568,0.9139247059822082,0.00993839361145746
1050,hybrid_8l,0.8273314356803894,0.0035611271858214666,0.8273314356803894,0.02418128120841181,0.8237703084945679,0.022378531423814244,0.8159644722938537,0.026828741283345597
1063,tabpfn,0.8339524269104004,0.004014313220977783,0.7965834259986877,0.012991215372036536,0.8339524269104004,0.03386329496224557,0.8299381136894226,0.03364017491001463
1068,hybrid_8l,0.8752937197685242,0.0036592721939087136,0.8752937197685242,0.04341551154217718,0.8716344475746155,0.04416904033499388,0.826337194442749,0.03806773742446308
1462,hybrid_8l,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1464,hydra,0.7595757246017456,0.0031595826148986816,0.7451918005943299,0.013333699022863525,0.7564161419868469,0.017515190045542296,0.7595757246017456,0.01191737800297269
1480,tabpfn,0.7389021754264832,0.005689191818237349,0.7292548179626465,0.03592074762257581,0.7389021754264832,0.03598908816015138,0.7332129836082458,0.03072942862735425
1494,tabpfn,0.9339252471923828,0.0029311776161193848,0.9309940695762634,0.0107479225599129,0.9339252471923828,0.010876679797758483,0.9117385149002075,0.009867878627882557
1510,tabpfn,0.9965328574180603,0.0001673579216003862,0.9962894439697265,0.0034583050901033237,0.9965328574180603,0.003212610303579498,0.9963654994964599,0.0037743841372969173
6332,hybrid_8l,0.7922531962394714,0.010737478733062744,0.7922531962394714,0.024481609095886484,0.7815157175064087,0.022098959225482776,0.7525364041328431,0.030201500869477864
23381,tabpfn,0.5092024087905884,0.0015550732612610307,0.5076473355293274,0.08269874038279525,0.5092024087905884,0.0768256115293113,0.5016490340232849,0.04770032288210277
40966,hybrid_8l,1.0,0.0,1.0,0.0,1.0,0.0,0.9977044463157654,0.0019064705036129616
40975,tabpfn,0.9874048352241516,0.0028299331665038174,0.9845749020576477,0.01062147050954191,0.9874048352241516,0.006531378368307227,0.9465108394622803,0.007507343116979088
40982,tabpfn,0.955334997177124,0.004448902606964067,0.9508860945701599,0.012342019113444963,0.955334997177124,0.010637104221405546,0.9196951985359192,0.014904347045913523
40994,hybrid_8l,0.943306851387024,0.0022542476654052734,0.943306851387024,0.005601738913909284,0.9410526037216187,0.00723373204689383,0.9342594385147095,0.018150093264203644
