did,dataset_name,model,num_samples,num_features,eval_position,mean,median,std,min,max,count,mean_metric
1063,kc2,hybrid_8l,522,21,972,0.088509,0.088801,0.001943,0.085193,0.091624,10,0.80645
1063,kc2,hydra,522,21,972,0.093745,0.094069,0.001915,0.090276,0.096642,10,0.845177
1063,kc2,tabpfn,522,21,972,0.094108,0.094192,0.001991,0.090376,0.097205,10,0.849974
1068,pc1,hybrid_8l,1109,21,972,0.109228,0.106653,0.010972,0.102378,0.139621,10,0.880654
1068,pc1,hydra,1109,21,972,0.125592,0.115981,0.018393,0.111968,0.160038,10,0.82171
1068,pc1,tabpfn,1109,21,972,0.119036,0.115621,0.011848,0.110726,0.149414,10,0.880834
1462,banknote-authentication,hybrid_8l,1372,4,972,0.040904,0.040673,0.001414,0.039151,0.043675,10,1.0
1462,banknote-authentication,hydra,1372,4,972,0.048565,0.048295,0.001611,0.04668,0.051716,10,1.0
1462,banknote-authentication,tabpfn,1372,4,972,0.048489,0.047999,0.001427,0.047306,0.051761,10,1.0
1464,blood-transfusion-service-center,hybrid_8l,748,4,972,0.038082,0.035474,0.008363,0.034421,0.061821,10,0.749097
1464,blood-transfusion-service-center,hydra,748,4,972,0.047434,0.041986,0.012734,0.039795,0.072325,10,0.763685
1464,blood-transfusion-service-center,tabpfn,748,4,972,0.04168,0.041405,0.001692,0.040026,0.045779,10,0.759915
1480,ilpd,hybrid_8l,583,10,972,0.080342,0.087751,0.019332,0.053142,0.108698,10,0.72935
1480,ilpd,hydra,583,10,972,0.082286,0.090692,0.016739,0.059327,0.099084,10,0.740224
1480,ilpd,tabpfn,583,10,972,0.084076,0.092689,0.01727,0.058577,0.099616,10,0.740725
1494,qsar-biodeg,hybrid_8l,1055,41,972,0.244401,0.251206,0.053169,0.173789,0.304946,10,0.931395
1494,qsar-biodeg,hydra,1055,41,972,0.273753,0.299017,0.051091,0.187767,0.314939,10,0.913201
1494,qsar-biodeg,tabpfn,1055,41,972,0.272445,0.305034,0.05688,0.185604,0.320731,10,0.934326
1510,wdbc,hybrid_8l,569,30,972,0.129345,0.124644,0.011386,0.121004,0.156947,10,0.995753
1510,wdbc,hydra,569,30,972,0.137691,0.13061,0.016248,0.126739,0.169307,10,0.995329
1510,wdbc,tabpfn,569,30,972,0.139923,0.131294,0.01576,0.127044,0.170479,10,0.995813
6332,cylinder-bands,hybrid_8l,277,37,972,0.118159,0.117138,0.004282,0.111739,0.123986,10,0.79076
6332,cylinder-bands,hydra,277,37,972,0.126943,0.123762,0.007078,0.118889,0.139337,10,0.748485
6332,cylinder-bands,tabpfn,277,37,972,0.120053,0.118097,0.006733,0.113176,0.136338,10,0.781278
23381,dresses-sales,hybrid_8l,99,12,972,0.05047,0.050519,0.000681,0.049582,0.051714,10,0.484916
23381,dresses-sales,hydra,99,12,972,0.057608,0.057618,0.000608,0.056855,0.059063,10,0.475014
23381,dresses-sales,tabpfn,99,12,972,0.050139,0.05019,0.000709,0.04901,0.05141,10,0.468156
40966,MiceProtein,hybrid_8l,552,77,972,0.312116,0.30041,0.032026,0.294234,0.399945,10,1.0
40966,MiceProtein,hydra,552,77,972,0.33102,0.316258,0.036323,0.30538,0.401671,10,0.99771
40966,MiceProtein,tabpfn,552,77,972,0.327973,0.312513,0.038311,0.300126,0.406774,10,0.999989
40975,car,hybrid_8l,1728,6,972,0.076515,0.065639,0.023244,0.064292,0.124368,10,0.983252
40975,car,hydra,1728,6,972,0.09841,0.081499,0.027054,0.07939,0.139689,10,0.944707
40975,car,tabpfn,1728,6,972,0.09074,0.078734,0.023083,0.07663,0.137,10,0.98635
40982,steel-plates-fault,hybrid_8l,1941,27,972,0.22967,0.219858,0.055097,0.158086,0.320518,10,0.951551
40982,steel-plates-fault,hydra,1941,27,972,0.275008,0.238735,0.09747,0.186293,0.479147,10,0.920159
40982,steel-plates-fault,tabpfn,1941,27,972,0.249955,0.220359,0.104268,0.177267,0.519531,10,0.954483
40994,climate-model-simulation-crashes,hybrid_8l,540,18,972,0.132689,0.115826,0.05614,0.078606,0.273753,10,0.941784
40994,climate-model-simulation-crashes,hydra,540,18,972,0.146113,0.13283,0.051877,0.085608,0.26566,10,0.934011
40994,climate-model-simulation-crashes,tabpfn,540,18,972,0.148548,0.139992,0.052897,0.083961,0.243534,10,0.94345
