did,best_model,best_score,margin_to_second,hydra_mean,hydra_std,hydra_min,hydra_max,hydra_median,hydra,hybrid_mean,hybrid_std,hybrid_min,hybrid_max,hybrid_median,hybrid,looped_transformer_depth3_mean,looped_transformer_depth3_std,looped_transformer_depth3_min,looped_transformer_depth3_max,looped_transformer_depth3_median,looped_transformer_depth3,tabpfn_mean,tabpfn_std,tabpfn_min,tabpfn_max,tabpfn_median,tabpfn
15,hydra,0.9948055386543274,0.000556647777557373,0.9948055386543274,0.0007118648635689609,0.994109570980072,0.9958088397979736,0.9949662089347839,0.9948055386543274,0.9917259573936462,0.0016632282236908895,0.9901573061943054,0.9941833019256592,0.9919540286064148,0.9917259573936462,0.9930709719657898,0.0007182839847973011,0.992521345615387,0.9943203926086426,0.9928935170173645,0.9930709719657898,0.99424889087677,0.0007634626916567466,0.9934371113777161,0.9953387975692749,0.9940646290779114,0.99424889087677
23,hydra,0.7121761322021485,0.0007651209831238681,0.7121761322021485,0.006935880116775966,0.7029805779457092,0.7224558591842651,0.7116089463233948,0.7121761322021485,0.708585524559021,0.009745083296214952,0.6961621642112732,0.7209177017211914,0.7051605582237244,0.708585524559021,0.7103353023529053,0.009544666584494434,0.6998897790908813,0.7233846783638,0.7075883150100708,0.7103353023529053,0.7114110112190246,0.011658624003687739,0.701123058795929,0.7290870547294617,0.7065351009368896,0.7114110112190246
37,hydra,0.8434908270835877,0.002198123931884788,0.8434908270835877,0.01213949664313547,0.8265584111213684,0.8566318154335022,0.8433441519737244,0.8434908270835877,0.8168656587600708,0.019961320022546237,0.7846209406852722,0.8390752673149109,0.8189201354980469,0.8168656587600708,0.8403624534606934,0.015277297553087477,0.8170026540756226,0.8588564395904541,0.8425703048706055,0.8403624534606934,0.8412927031517029,0.013225244354026854,0.8213162422180176,0.8553090691566467,0.8464078307151794,0.8412927031517029
469,hybrid,0.5869657516479492,0.005680441856384277,0.5781662583351135,0.01356596203378101,0.5628856420516968,0.5908317565917969,0.5857993364334106,0.5781662583351135,0.5869657516479492,0.0077966049526218455,0.5756615400314331,0.5960840582847595,0.5855089426040649,0.5869657516479492,0.5812853097915649,0.012097741681431259,0.5656101107597351,0.597022294998169,0.5848215818405151,0.5812853097915649,0.5754562497138977,0.008814225067295896,0.5597556829452515,0.580539345741272,0.5788693428039551,0.5754562497138977
1050,looped_transformer_depth3,0.8240311026573182,0.00026079416275026635,0.8186839580535888,0.02652981531203156,0.7874112725257874,0.8549899458885193,0.8141507506370544,0.8186839580535888,0.8195069909095765,0.021901319118023576,0.7949486374855042,0.8450154662132263,0.8276845812797546,0.8195069909095765,0.8240311026573182,0.027359375039030572,0.7887777090072632,0.8586761951446533,0.8280894756317139,0.8240311026573182,0.8237703084945679,0.022378531423814244,0.7964913845062256,0.8528215885162354,0.8180676102638245,0.8237703084945679
1063,looped_transformer_depth3,0.8369317770004272,0.002979350090026811,0.8288056969642639,0.03183158600894455,0.7892156839370728,0.8656794428825378,0.8227488398551941,0.8288056969642639,0.8212258100509644,0.034230979110443954,0.7878397107124329,0.8588849902153015,0.8017740249633789,0.8212258100509644,0.8369317770004272,0.03407659382485857,0.7917096614837646,0.8716027736663818,0.8268440961837769,0.8369317770004272,0.8339524269104004,0.03386329496224557,0.7999656200408936,0.8705213069915771,0.8173202872276306,0.8339524269104004
1462,hybrid,1.0,0.0,0.9999969124794006,6.903905942111558e-06,0.9999845623970032,1.0,1.0,0.9999969124794006,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1464,hydra,0.7631274819374084,0.002664923667907715,0.7631274819374084,0.013356144374911654,0.7433098554611206,0.7796345353126526,0.7623727917671204,0.7631274819374084,0.7586669206619263,0.01173324560529692,0.7384194135665894,0.7663342356681824,0.7645614147186279,0.7586669206619263,0.7604625582695007,0.013129230213195384,0.7410602569580078,0.7773270606994629,0.7625269889831543,0.7604625582695007,0.7564161419868469,0.017515190045542296,0.7269366383552551,0.7736052870750427,0.7599059343338013,0.7564161419868469
6332,hybrid,0.7880804777145386,0.004957926273346014,0.7533517241477966,0.024809806146461246,0.7201958298683167,0.7871018052101135,0.7588183283805847,0.7533517241477966,0.7880804777145386,0.025191148839021713,0.7591564655303955,0.8195368051528931,0.7938712239265442,0.7880804777145386,0.7831225514411926,0.027594693762575506,0.7419828772544861,0.8078218102455139,0.7947530746459961,0.7831225514411926,0.7815157175064087,0.022098959225482776,0.7556915283203125,0.8053199052810669,0.7832892537117004,0.7815157175064087
23381,hybrid,0.5248954653739929,0.011372089385986328,0.5135233759880066,0.07517275334746967,0.4234693944454193,0.6228955984115601,0.4877192974090576,0.5135233759880066,0.5248954653739929,0.0764761929092213,0.43157893419265747,0.6275510191917419,0.5471380352973938,0.5248954653739929,0.49933690428733823,0.08583921757668977,0.40136054158210754,0.619528591632843,0.5,0.49933690428733823,0.5092024087905884,0.0768256115293113,0.4166666567325592,0.5858585834503174,0.5488215684890747,0.5092024087905884
40994,hybrid,0.9431098103523254,0.0020572066307067427,0.9405283570289612,0.007491647035161067,0.9343677759170532,0.9534457325935364,0.938049852848053,0.9405283570289612,0.9431098103523254,0.01037046398977939,0.9332655668258667,0.9602272510528564,0.9391937851905823,0.9431098103523254,0.9367377638816834,0.00988417587327522,0.9291256070137024,0.9536290168762207,0.9347899556159973,0.9367377638816834,0.9410526037216187,0.00723373204689383,0.9311176538467407,0.9506964683532715,0.9411656856536865,0.9410526037216187
