,did,hybrid,transformer,hydra
0,11,0.9893466591835022,0.9973952293395996,0.9939501166343689
1,14,0.9513543009757995,0.9734832048416138,0.9534295678138733
2,15,0.9925938844680786,0.99424889087677,0.9948055386543274
3,16,0.9887391328811646,0.9964430451393127,0.984947407245636
4,18,0.9542145371437073,0.9629407286643982,0.9583662986755371
5,22,0.9674273610115052,0.9825703024864196,0.9702275991439819
6,23,0.7057185053825379,0.7114110112190246,0.7121788263320923
7,29,0.9343186378479004,0.9354403972625732,0.9325365781784057
8,31,0.7874405980110168,0.7896058559417725,0.7840957760810852
9,37,0.8310338020324707,0.8412927031517029,0.8434908270835877
10,50,0.9156468152999878,0.9751107215881347,0.8773770093917846
11,54,0.923125946521759,0.9572097301483155,0.9285774469375611
12,188,0.8957459092140198,0.9147530913352966,0.9052459955215454
13,458,0.9999598503112793,0.9999956727027893,0.9999387741088868
14,469,0.5880965948104858,0.5754562497138977,0.5781675934791565
15,1049,0.9177531242370606,0.933065402507782,0.9253727912902832
16,1050,0.8222162127494812,0.8237703084945679,0.8186916708946228
17,1063,0.819957721233368,0.8339524269104004,0.8288056969642639
18,1068,0.8475290060043335,0.8716344475746155,0.8396812558174134
19,1462,1.0,1.0,0.9999969124794006
20,1464,0.7565455436706543,0.7564161419868469,0.7631274819374084
21,1480,0.7247454881668091,0.7389021754264832,0.7330203413963318
22,1494,0.9229225993156434,0.9339252471923828,0.9213540434837342
23,1510,0.9965403437614441,0.9965328574180603,0.996520721912384
24,6332,0.7826486110687256,0.7815157175064087,0.7534006834030151
25,23381,0.5389622330665589,0.5092024087905884,0.5135233759880066
26,40966,0.9998041272163392,1.0,0.9910660743713379
27,40975,0.971941864490509,0.9874048352241516,0.9739616751670838
28,40982,0.9445767402648926,0.955334997177124,0.9268392324447632
29,40994,0.9383148670196533,0.9410526037216187,0.9405622363090516
