Synchronized per-dataset summary:
  did                     dataset_name     model  num_samples  num_features  eval_position     mean   median      std      min      max  count  mean_metric
 1050                              pc3     hydra         1563            37            972 0.467945 0.446392 0.074595 0.393190 0.608429     10     0.811030
 1050                              pc3    tabpfn         1563            37            972 0.437544 0.420125 0.107989 0.258771 0.600904     10     0.825854
 1063                              kc2 hybrid_8l          522            21            972 0.262204 0.262821 0.077074 0.154149 0.390204     10     0.806450
 1063                              kc2     hydra          522            21            972 0.240026 0.247493 0.086971 0.131200 0.368676     10     0.845177
 1063                              kc2    tabpfn          522            21            972 0.265335 0.276338 0.060319 0.149918 0.336216     10     0.849974
 1068                              pc1 hybrid_8l         1109            21            972 0.225903 0.231589 0.026059 0.187565 0.274947     10     0.880654
 1068                              pc1     hydra         1109            21            972 0.253070 0.249336 0.059956 0.185519 0.354606     10     0.821710
 1068                              pc1    tabpfn         1109            21            972 0.209899 0.203000 0.024943 0.185146 0.254293     10     0.880834
 1462          banknote-authentication hybrid_8l         1372             4            972 0.159786 0.161881 0.020407 0.118604 0.191320     10     1.000000
 1462          banknote-authentication     hydra         1372             4            972 0.177921 0.179081 0.027994 0.138226 0.232645     10     1.000000
 1462          banknote-authentication    tabpfn         1372             4            972 0.182417 0.178644 0.055859 0.133303 0.328666     10     1.000000
 1464 blood-transfusion-service-center hybrid_8l          748             4            972 0.145206 0.137882 0.029204 0.106439 0.194410     10     0.749097
 1464 blood-transfusion-service-center     hydra          748             4            972 0.160808 0.158808 0.034077 0.116653 0.233314     10     0.763685
 1464 blood-transfusion-service-center    tabpfn          748             4            972 0.149528 0.142929 0.025900 0.118531 0.207390     10     0.759915
 1480                             ilpd hybrid_8l          583            10            972 0.239978 0.221735 0.081966 0.144216 0.411978     10     0.729350
 1480                             ilpd     hydra          583            10            972 0.248167 0.226760 0.050915 0.201548 0.343125     10     0.740224
 1480                             ilpd    tabpfn          583            10            972 0.224795 0.215957 0.055382 0.165324 0.341685     10     0.740725
 1494                      qsar-biodeg hybrid_8l         1055            41            972 0.647815 0.497347 0.376117 0.350970 1.609531     10     0.931395
 1494                      qsar-biodeg     hydra         1055            41            972 0.522074 0.525153 0.134392 0.256484 0.700227     10     0.913201
 1494                      qsar-biodeg    tabpfn         1055            41            972 0.532477 0.508827 0.127811 0.386127 0.803736     10     0.934326
 1510                             wdbc hybrid_8l          569            30            972 0.218305 0.210889 0.036937 0.166659 0.287086     10     0.995753
 1510                             wdbc     hydra          569            30            972 0.256832 0.258609 0.057450 0.181068 0.350904     10     0.995329
 1510                             wdbc    tabpfn          569            30            972 0.214128 0.206018 0.038810 0.173413 0.299195     10     0.995813
 6332                   cylinder-bands hybrid_8l          277            37            972 0.158290 0.154112 0.020898 0.136486 0.207367     10     0.790760
 6332                   cylinder-bands     hydra          277            37            972 0.176935 0.180276 0.025853 0.142614 0.216485     10     0.748485
 6332                   cylinder-bands    tabpfn          277            37            972 0.185192 0.179656 0.034948 0.141024 0.243115     10     0.781278
23381                    dresses-sales hybrid_8l           99            12            972 0.059331 0.056348 0.012154 0.049820 0.089939     10     0.484916
23381                    dresses-sales     hydra           99            12            972 0.071645 0.068728 0.012362 0.056463 0.093806     10     0.475014
23381                    dresses-sales    tabpfn           99            12            972 0.059940 0.056132 0.013406 0.048996 0.093357     10     0.468156
40966                      MiceProtein hybrid_8l          552            77            972 0.592523 0.603760 0.092014 0.422907 0.715328     10     1.000000
40966                      MiceProtein     hydra          552            77            972 0.651636 0.661825 0.120579 0.476447 0.843872     10     0.997710
40966                      MiceProtein    tabpfn          552            77            972 0.601004 0.602169 0.043156 0.518508 0.661677     10     0.999989
40975                              car hybrid_8l         1728             6            972 0.176441 0.158826 0.082180 0.076131 0.342839     10     0.983252
40975                              car     hydra         1728             6            972 0.163296 0.140477 0.066521 0.089879 0.317915     10     0.944707
40975                              car    tabpfn         1728             6            972 0.211480 0.192559 0.055096 0.152742 0.315264     10     0.986350
40982               steel-plates-fault hybrid_8l         1941            27            972 0.393707 0.389116 0.072659 0.286824 0.501230     10     0.951551
40982               steel-plates-fault     hydra         1941            27            972 0.442614 0.405866 0.117689 0.304280 0.709471     10     0.920159
40982               steel-plates-fault    tabpfn         1941            27            972 0.385811 0.389308 0.074922 0.250362 0.513750     10     0.954483
40994 climate-model-simulation-crashes hybrid_8l          540            18            972 0.151112 0.144812 0.039327 0.079437 0.222464     10     0.941784
40994 climate-model-simulation-crashes     hydra          540            18            972 0.163402 0.160763 0.053647 0.095822 0.276157     10     0.934011
40994 climate-model-simulation-crashes    tabpfn          540            18            972 0.173369 0.148562 0.071616 0.085519 0.324637     10     0.943450

Saved raw timings to result_csvs/per_dataset_speed_synchronized_raw.csv
Saved summary to result_csvs/per_dataset_speed_synchronized_summary.csv
root@df529ac12d80:/app# 
