
Synchronized per-dataset summary:
  did                     dataset_name                                model  num_samples  num_features  eval_position     mean   median      std      min      max  count  mean_metric
  458           analcatdata_authorship                                hydra          841            70            972 0.348786 0.326026 0.045918 0.302986 0.453516     10     0.999914
  458           analcatdata_authorship looped_transformer_6physical_core4x2          841            70            972 0.329619 0.324123 0.022393 0.309397 0.390247     10     0.999996
  458           analcatdata_authorship                               tabpfn          841            70            972 0.341522 0.336870 0.026874 0.312064 0.393293     10     0.999995
  469                 analcatdata_dmft                            hybrid_8l          797             4            972 0.118595 0.075256 0.077983 0.063099 0.316115     10     0.581094
  469                 analcatdata_dmft                                hydra          797             4            972 0.117422 0.099395 0.034655 0.088283 0.185187     10     0.565801
  469                 analcatdata_dmft looped_transformer_6physical_core4x2          797             4            972 0.097182 0.085831 0.031004 0.066037 0.152644     10     0.579312
  469                 analcatdata_dmft                               tabpfn          797             4            972 0.122562 0.092091 0.054194 0.076840 0.240737     10     0.572532
 1049                              pc4                            hybrid_8l         1458            37            972 0.243119 0.251935 0.061003 0.169002 0.320205     10     0.929582
 1049                              pc4                                hydra         1458            37            972 0.248511 0.198201 0.087524 0.175424 0.434293     10     0.914074
 1049                              pc4 looped_transformer_6physical_core4x2         1458            37            972 0.254188 0.245122 0.073683 0.179590 0.427066     10     0.928348
 1049                              pc4                               tabpfn         1458            37            972 0.227904 0.206780 0.058638 0.174275 0.355706     10     0.931262
 1050                              pc3                            hybrid_8l         1563            37            972 0.224447 0.189507 0.061735 0.172344 0.338531     10     0.826344
 1050                              pc3                                hydra         1563            37            972 0.243485 0.225359 0.064392 0.176771 0.364181     10     0.811030
 1050                              pc3 looped_transformer_6physical_core4x2         1563            37            972 0.302186 0.263131 0.150362 0.165996 0.579899     10     0.828154
 1050                              pc3                               tabpfn         1563            37            972 0.195001 0.184804 0.029333 0.171544 0.270347     10     0.825854
 1063                              kc2                            hybrid_8l          522            21            972 0.124563 0.127948 0.019660 0.092945 0.161324     10     0.806450
 1063                              kc2                                hydra          522            21            972 0.142182 0.142754 0.042882 0.091493 0.222546     10     0.845177
 1063                              kc2 looped_transformer_6physical_core4x2          522            21            972 0.120728 0.120550 0.022451 0.089270 0.155456     10     0.849031
 1063                              kc2                               tabpfn          522            21            972 0.152010 0.142291 0.032547 0.100713 0.206922     10     0.849974
 1068                              pc1                            hybrid_8l         1109            21            972 0.148162 0.144064 0.042381 0.103043 0.251564     10     0.880654
 1068                              pc1                                hydra         1109            21            972 0.163557 0.147608 0.049103 0.119695 0.289909     10     0.821710
 1068                              pc1 looped_transformer_6physical_core4x2         1109            21            972 0.154889 0.156886 0.028258 0.117199 0.208505     10     0.883412
 1068                              pc1                               tabpfn         1109            21            972 0.163312 0.158179 0.029246 0.139192 0.241111     10     0.880834
 1462          banknote-authentication                            hybrid_8l         1372             4            972 0.085796 0.090022 0.040474 0.043480 0.155439     10     1.000000
 1462          banknote-authentication                                hydra         1372             4            972 0.091142 0.094078 0.037485 0.051501 0.164020     10     1.000000
 1462          banknote-authentication looped_transformer_6physical_core4x2         1372             4            972 0.084240 0.082790 0.035645 0.045311 0.145720     10     1.000000
 1462          banknote-authentication                               tabpfn         1372             4            972 0.088248 0.089097 0.033523 0.055595 0.158271     10     1.000000
 1464 blood-transfusion-service-center                            hybrid_8l          748             4            972 0.066797 0.051668 0.035211 0.036513 0.140385     10     0.749097
 1464 blood-transfusion-service-center                                hydra          748             4            972 0.055074 0.046760 0.018238 0.043964 0.095642     10     0.763685
 1464 blood-transfusion-service-center looped_transformer_6physical_core4x2          748             4            972 0.069237 0.079358 0.025268 0.038063 0.096816     10     0.758492
 1464 blood-transfusion-service-center                               tabpfn          748             4            972 0.056250 0.046966 0.022181 0.042261 0.100020     10     0.759915
 1480                             ilpd                            hybrid_8l          583            10            972 0.083471 0.089796 0.015692 0.057804 0.100713     10     0.729350
 1480                             ilpd                                hydra          583            10            972 0.083544 0.075059 0.020323 0.061590 0.112170     10     0.740224
 1480                             ilpd looped_transformer_6physical_core4x2          583            10            972 0.088238 0.089638 0.031083 0.055635 0.145227     10     0.740550
 1480                             ilpd                               tabpfn          583            10            972 0.098116 0.102972 0.024035 0.066061 0.144278     10     0.740725
 1494                      qsar-biodeg                            hybrid_8l         1055            41            972 0.222957 0.188514 0.076606 0.178108 0.427982     10     0.931395
 1494                      qsar-biodeg                                hydra         1055            41            972 0.225458 0.199393 0.055401 0.188458 0.355783     10     0.913201
 1494                      qsar-biodeg looped_transformer_6physical_core4x2         1055            41            972 0.254996 0.258770 0.035160 0.194563 0.316118     10     0.932931
 1494                      qsar-biodeg                               tabpfn         1055            41            972 0.203569 0.197713 0.018830 0.186346 0.244823     10     0.934326
 1510                             wdbc                            hybrid_8l          569            30            972 0.154022 0.155144 0.012865 0.136564 0.171150     10     0.995753
 1510                             wdbc                                hydra          569            30            972 0.162252 0.161837 0.022227 0.134398 0.214676     10     0.995329
 1510                             wdbc looped_transformer_6physical_core4x2          569            30            972 0.148540 0.138232 0.020917 0.127436 0.182885     10     0.995546
 1510                             wdbc                               tabpfn          569            30            972 0.159686 0.151695 0.032710 0.131538 0.235634     10     0.995813
 6332                   cylinder-bands                            hybrid_8l          277            37            972 0.143918 0.143604 0.010576 0.128272 0.160874     10     0.790760
 6332                   cylinder-bands                                hydra          277            37            972 0.141236 0.140277 0.014708 0.120352 0.163993     10     0.748485
 6332                   cylinder-bands looped_transformer_6physical_core4x2          277            37            972 0.131887 0.131119 0.008232 0.120850 0.146098     10     0.763458
 6332                   cylinder-bands                               tabpfn          277            37            972 0.136078 0.138897 0.012514 0.114323 0.159219     10     0.781278
23381                    dresses-sales                            hybrid_8l           99            12            972 0.054066 0.053603 0.002487 0.050677 0.057296     10     0.484916
