Synchronized per-dataset summary:
  did                     dataset_name     model  num_samples  num_features  eval_position     mean   median      std      min      max  count  mean_metric
   11                    balance-scale hybrid_8l          625             4            972 0.248532 0.222482 0.177736 0.068546 0.692551     10     0.995021
   11                    balance-scale     hydra          625             4            972 0.209723 0.210440 0.086179 0.071805 0.334748     10     0.988137
   11                    balance-scale    tabpfn          625             4            972 0.188180 0.182755 0.061354 0.098103 0.312208     10     0.998240
   14                    mfeat-fourier hybrid_8l         2000            76            972 0.854501 0.748474 0.370957 0.454330 1.482514     10     0.973905
   14                    mfeat-fourier     hydra         2000            76            972 0.953729 0.843366 0.356268 0.571090 1.708277     10     0.960276
   14                    mfeat-fourier    tabpfn         2000            76            972 0.830674 0.794493 0.193673 0.585515 1.095647     10     0.975816
   15                         breast-w hybrid_8l          683             9            972 0.232577 0.201700 0.111010 0.069079 0.380890     10     0.993802
   15                         breast-w     hydra          683             9            972 0.267625 0.253593 0.108948 0.115965 0.456029     10     0.994672
   15                         breast-w    tabpfn          683             9            972 0.257630 0.244444 0.110002 0.106933 0.475039     10     0.994680
   16                   mfeat-karhunen hybrid_8l         2000            64            972 0.528879 0.500312 0.179892 0.329989 0.776322     10     0.996645
   16                   mfeat-karhunen     hydra         2000            64            972 0.593118 0.477730 0.239305 0.365818 1.116720     10     0.989891
   16                   mfeat-karhunen    tabpfn         2000            64            972 0.618149 0.478598 0.269382 0.362293 1.233837     10     0.996786
   18              mfeat-morphological hybrid_8l         2000             6            972 0.165254 0.122254 0.091178 0.102407 0.347516     10     0.964042
   18              mfeat-morphological     hydra         2000             6            972 0.167911 0.132687 0.065661 0.119644 0.300858     10     0.958056
   18              mfeat-morphological    tabpfn         2000             6            972 0.158559 0.121651 0.077821 0.111060 0.337463     10     0.963835
   22                    mfeat-zernike hybrid_8l         2000            47            972 0.728485 0.608890 0.347361 0.364828 1.551959     10     0.980661
   22                    mfeat-zernike     hydra         2000            47            972 0.689211 0.639391 0.222058 0.415943 1.028775     10     0.967981
   22                    mfeat-zernike    tabpfn         2000            47            972 0.716801 0.679408 0.204028 0.482402 1.030801     10     0.982242
   23                              cmc hybrid_8l         1473             9            972 0.233296 0.252980 0.099094 0.092588 0.408185     10     0.706750
   23                              cmc     hydra         1473             9            972 0.239958 0.255610 0.075207 0.091201 0.332210     10     0.693113
   23                              cmc    tabpfn         1473             9            972 0.188240 0.179691 0.072813 0.095336 0.348472     10     0.712318
   29                  credit-approval hybrid_8l          653            15            972 0.178756 0.167435 0.080181 0.078068 0.340246     10     0.926676
   29                  credit-approval     hydra          653            15            972 0.203379 0.183977 0.084712 0.100697 0.355167     10     0.930668
   29                  credit-approval    tabpfn          653            15            972 0.202916 0.163971 0.091386 0.121744 0.364313     10     0.933494
